Company_Name,Registered_Office_Address,Corporate_Office_Address,Primary_Address
CERA Sanitaryware Limited,"9, GIDC Industrial Estate, Kadi-382715, Dist. Mehsana, Gujarat, India.","7th & 8th Floor, B Wing, Privilon, Ambli BRTS Road, ISKCON Crossroads, Ahmedabad - 380059","7th & 8th Floor, B Wing, Privilon, Ambli BRTS Road, ISKCON Crossroads, Ahmedabad - 380059"
CESC Limited,"CESC House, Chowringhee Square, Kolkata 700001, West Bengal, India","CESC House, Chowringhee Square, Kolkata 700001, West Bengal, India","CESC House, Chowringhee Square, Kolkata 700001, West Bengal, India"
CE INFO SYSTEMS LIMITED,"FIRST, SECOND, THIRD FLOOR, PLOT NO. 237, OKHLA INDUSTRIAL AREA, PHASE-III, NEW DELHI-110020","FIRST, SECOND & THRID FLOOR, PLOT NO. 237 OKHLA INDUSTRIAL ESTATE, PHASE –III, NEW DELHI NEW DELHI South Delhi DL 110020 IN","FIRST, SECOND & THRID FLOOR, PLOT NO. 237 OKHLA INDUSTRIAL ESTATE, PHASE –III, NEW DELHI NEW DELHI South Delhi DL 110020 IN"
CG Power and Industrial Solutions Limited,"CG House, 6th Floor, Dr. Annie Besant Road, Worli, Mumbai - 400030,  Maharashtra, India","CG House, 6th Floor, Dr. Annie Besant Road, Worli, Mumbai - 400030,  Maharashtra, India","CG House, 6th Floor, Dr. Annie Besant Road, Worli, Mumbai - 400030,  Maharashtra, India"
Chalet Hotels Limited,"Raheja Tower, Plot No. C-30, Block ‘G’, Next to Bank of Baroda, Bandra Kurla Complex, Bandra (East), Mumbai 400051","Raheja Tower, Plot No. C-30, Block ‘G’, Next to Bank of Baroda, Bandra Kurla Complex, Bandra (East), Mumbai 400051","Raheja Tower, Plot No. C-30, Block ‘G’, Next to Bank of Baroda, Bandra Kurla Complex, Bandra (East), Mumbai 400051"
Chemplast Sanmar Limited,"No. 9 Cathedral Road, Chennai 600086","No. 9 Cathedral Road, Chennai 600086","No. 9 Cathedral Road, Chennai 600086"
CHENNAI PETROLEUM CORPORATION LIMITED,"CHENNAI PETROLEUM CORPORATION LIMITED, 536, ANNA SALAI, TEYNAMPET, CHENNAI-6000018","CHENNAI PETROLEUM CORPORATION LIMITED, 536, ANNA SALAI, TEYNAMPET, CHENNAI-6000018","CHENNAI PETROLEUM CORPORATION LIMITED, 536, ANNA SALAI, TEYNAMPET, CHENNAI-6000018"
Cholamandalam Financial Holdings Limited,"‘Dare House’, No. 234, NSC Bose Road, Chennai - 600 001, Tamil Nadu","‘Dare House’, No. 234, NSC Bose Road, Chennai - 600 001, Tamil Nadu","‘Dare House’, No. 234, NSC Bose Road, Chennai - 600 001, Tamil Nadu"
Cholamandalam Investment and Finance Company Limited,"Chola Crest, C54-55 & Super B-4, Thiru-Vi-Ka Industrial Estate, Guindy, Chennai - 600032.","Chola Crest, C54-55 & Super B-4, Thiru-Vi-Ka Industrial Estate, Guindy, Chennai - 600032.","Chola Crest, C54-55 & Super B-4, Thiru-Vi-Ka Industrial Estate, Guindy, Chennai - 600032."
CIE AUTOMOTIVE INDIA LIMITED,"Suite F9D, Grand Hyatt Plaza (Lobby Level) Off Western Express Highway, Santacruz  (E) Mumbai-400055","602-603, Amar Business Park, Baner Road, opp. Sadanand Resort, Pune, Maharashtra 411045","602-603, Amar Business Park, Baner Road, opp. Sadanand Resort, Pune, Maharashtra 411045"
Cipla Limited,"Cipla House, Peninsula Business Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013","Cipla House, Peninsula Business Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013","Cipla House, Peninsula Business Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013"
CITY UNION BANK LIMITED,"149, TSR (Big) street, Thanjavur Dist. Kumbakonam, Tamil Nadu, India - 612 001","""Narayana"" No.24B, Gandhi Nagar Kumbakonam, Tamilnadu, India - 612 001","""Narayana"" No.24B, Gandhi Nagar Kumbakonam, Tamilnadu, India - 612 001"
Clean Science and Technology Limited,"Office No. 603 & 604, 6th floor, Tower No. 15, Cybercity,Magarpatta City, Hadapsar, Pune 411013","Office No. 603 & 604, 6th floor, Tower No. 15, Cybercity,Magarpatta City, Hadapsar, Pune 411013","Office No. 603 & 604, 6th floor, Tower No. 15, Cybercity,Magarpatta City, Hadapsar, Pune 411013"
COAL INDIA LIMITED,"Coal Bhawan, Premises 04-MAR, Action Area 1A, Newtown Rajarhat Kolkata-700156","Coal Bhawan, Premises 04-MAR, Action Area 1A, Newtown Rajarhat Kolkata-700156","Coal Bhawan, Premises 04-MAR, Action Area 1A, Newtown Rajarhat Kolkata-700156"
Cochin Shipyard Limited,"Cochin Shipyard Limited, Administrative Building, Cochin Shipyard Premises, Perumanoor, Kochi – 682015, Kerala, India","Cochin Shipyard Limited, Administrative Building, Cochin Shipyard Premises, Perumanoor, Kochi – 682015, Kerala, India","Cochin Shipyard Limited, Administrative Building, Cochin Shipyard Premises, Perumanoor, Kochi – 682015, Kerala, India"
Coforge Limited,"Plot No. 13, Udyog Vihar, Phase-IV, Sector-18, Palam Road, Gurugram - 122015, Haryana, India","Special Economic Zone, Plot No. TZ-2& 2A, Sector - Tech Zone, Greater Noida (UP)- 201308, India","Special Economic Zone, Plot No. TZ-2& 2A, Sector - Tech Zone, Greater Noida (UP)- 201308, India"
Computer Age Management Services Limited,"New No.10, Old No 178, M.G.R. Salai, Nungambakkam, Chennai (Madras), Tamil Nadu, 600034","Rayala Towers, Tower - 1, Anna Salai, No.158, Rayala Towers, Tower - I, 3rd Floor, Anna Salai 
Chennai 600002","Rayala Towers, Tower - 1, Anna Salai, No.158, Rayala Towers, Tower - I, 3rd Floor, Anna Salai 
Chennai 600002"
Concord Biotech Limited,"1482-1486, Trasad Road, Dholka, Dist. Ahmedabad - 382225, Gujarat","B-1601-1602, B-Wing, Mondeal Heights, Iskcon CrossRoad, S. G. Highway, Ahmedabad - 380015, Gujarat","B-1601-1602, B-Wing, Mondeal Heights, Iskcon CrossRoad, S. G. Highway, Ahmedabad - 380015, Gujarat"
Container Corporation of India Limited,"CONCOR Bhawan, C-3, Mathura Road, Opposite Apollo Hospital, New Delhi-110076","CONCOR Bhawan, C-3, Mathura Road, Opposite Apollo Hospital, New Delhi-110076","CONCOR Bhawan, C-3, Mathura Road, Opposite Apollo Hospital, New Delhi-110076"
COROMANDEL INTERNATIONAL LIMITED,"Coromandel House’, 1-2-10, Sardar Patel Road, Secunderabad - 500 003","Olympia Terraces, #15B(SP), SIDCO Industrial Estate, Guindy, Chennai – 600 032","Olympia Terraces, #15B(SP), SIDCO Industrial Estate, Guindy, Chennai – 600 032"
Craftsman Automation Limited,"123/4, Sangothipalayam Road, Arasur Post, Coimbatore –641407 Tamil Nadu, India.","Krishna Towers, 4th & 5th Floor, 1087, Avinashi Road,Coimbatore – 641037 Tamil Nadu, India.","Krishna Towers, 4th & 5th Floor, 1087, Avinashi Road,Coimbatore – 641037 Tamil Nadu, India."
CreditAccess Grameen Limited,"New No. 49 (Old No725), 46th Cross, 8th Block, Jayanagar, 
(Next to Rajalakshmi Kalyana Mantap) Bengaluru KA-560070","New No. 49 (Old No725), 46th Cross, 8th Block, Jayanagar, 
(Next to Rajalakshmi Kalyana Mantap) Bengaluru KA-560070","New No. 49 (Old No725), 46th Cross, 8th Block, Jayanagar, 
(Next to Rajalakshmi Kalyana Mantap) Bengaluru KA-560070"
Crisil Limited,"Crisil House, Central Avenue, Hiranandani Business Park, Powai, Mumbai 400 076*

*Registered Office shifted to Lightbridge IT Park, Saki Vihar Road, Andheri East, Mumbai 400 072 w.e.f. March 19, 2025.","Lightbridge IT Park, Saki Vihar Road, Andheri East, Mumbai 400 072","Lightbridge IT Park, Saki Vihar Road, Andheri East, Mumbai 400 072"
Crompton Greaves Consumer Electricals Limited,"05GBD, Godrej Business District, Pirojshanagar, Vikhroli (West), Mumbai 400079","05GBD, Godrej Business District, Pirojshanagar, Vikhroli (West), Mumbai 400079","05GBD, Godrej Business District, Pirojshanagar, Vikhroli (West), Mumbai 400079"
Cummins India Limited,"Cummins India Office Campus, Tower A, 5th Floor, Survey No. 21, Balewadi Pune, 411045, Maharashtra, India","Cummins India Office Campus, Tower A, 5th Floor, Survey No. 21, Balewadi Pune, 411045, Maharashtra, India","Cummins India Office Campus, Tower A, 5th Floor, Survey No. 21, Balewadi Pune, 411045, Maharashtra, India"
Cyient Limited,"4th Floor, ‘A’ Wing, Plot .11, Software, Units Layout,
Infocity, Madhapur Hyderabad, Telangana - 500 0815G, Survey No.99/1, Mamidipalli Village, GMR Aerospace & Industrial Park Limited, Rajiv Gandhi International Airport, Shamshabad, Hyderabad, Telangana, India - 500108","4th Floor, ‘A’ Wing, Plot .11, Software, Units Layout,
Infocity, Madhapur Hyderabad, Telangana - 500 081","4th Floor, ‘A’ Wing, Plot .11, Software, Units Layout,
Infocity, Madhapur Hyderabad, Telangana - 500 081"
Dabur India Limited,"8/3, Asaf Ali Road, New Delhi – 110002","Dabur India Limited, Kaushambi, Ghaziabad – 201010, Uttar Pradesh, India","Dabur India Limited, Kaushambi, Ghaziabad – 201010, Uttar Pradesh, India"
Dalmia Bharat Limited,"Dalmiapuram, Dist. Tiruchirapalli, Tamil Nadu- 621651","11th & 12th Floors, Hansalaya Building, 15, Barakhamba Road, New Delhi-110001","11th & 12th Floors, Hansalaya Building, 15, Barakhamba Road, New Delhi-110001"
Data Patterns India Limited,"Plot No. H-9, Fourth Main Road, SIPCOT IT Park, Siruseri, Chenai - 603103","Plot No. H-9, Fourth Main Road, SIPCOT IT Park, Siruseri, Chenai - 603103","Plot No. H-9, Fourth Main Road, SIPCOT IT Park, Siruseri, Chenai - 603103"
DCM Shriram Limited,"2nd Floor (West wing), Worldmark-1, Aerocity, New Delhi-110037","2nd Floor (West wing), Worldmark-1, Aerocity, New Delhi-110037","2nd Floor (West wing), Worldmark-1, Aerocity, New Delhi-110037"
Deepak Nitrite Limited,"2nd Floor, Fermenter House, Alembic City, Alembic Avenue Road,
Vadodara - 390003","2nd Floor, Fermenter House, Alembic City, Alembic Avenue Road,
Vadodara - 390003","2nd Floor, Fermenter House, Alembic City, Alembic Avenue Road,
Vadodara - 390003"
Delhivery Limited,"N24-N34, S24-S34, Air Cargo Logistics Centre-II, Opposite Gate 6 Cargo Terminal, IGI Airport, New Delhi 110037","Plot No. 5, Sector 44, Gurugram 122001","Plot No. 5, Sector 44, Gurugram 122001"
Devyani International Limited,"F-2/7, Okhla Industrial Area, Phase-I, New Delhi-110020","Plot No.-18, Sector-35, Gurugram-122004, Haryana","Plot No.-18, Sector-35, Gurugram-122004, Haryana"
DIVIS LABORATORIES LIMITED,"Divi Towers,1-72/23(P)/DIVIS/303, Cyber Hills, Gachibowli, Hyderabad - 500 032, Telangana, India","Divi Towers,1-72/23(P)/DIVIS/303, Cyber Hills, Gachibowli, Hyderabad - 500 032, Telangana, India","Divi Towers,1-72/23(P)/DIVIS/303, Cyber Hills, Gachibowli, Hyderabad - 500 032, Telangana, India"
Dixon Technologies India Limited,"B-14 & 15, Phase-II, District Gautam Buddha Nagar,
Noida, Uttar Pradesh-201305","B-14 & 15, Phase-II, District Gautam Buddha Nagar,
Noida, Uttar Pradesh-201305","B-14 & 15, Phase-II, District Gautam Buddha Nagar,
Noida, Uttar Pradesh-201305"
DLF Limited,"Shopping Mall, 3rd Floor, Arjun Marg, Phase - I, DLF City, Gurugram - 122 002 (Haryana)","DLF Gateway Tower, R Block, DLF City, Phase – III, Gurugram - 122 002 (Haryana)","DLF Gateway Tower, R Block, DLF City, Phase – III, Gurugram - 122 002 (Haryana)"
DOMS Industries Limited,"J-19, G.I.D.C, Opp. Telephone Exchange, Umbergaon, Dist. Valsad, Gujarat, India – 396171","Plot No. 117, 52 Hector Expansion Area, G.I.D.C, Umbergaon, Dist. Valsad, Gujarat, India – 396171","Plot No. 117, 52 Hector Expansion Area, G.I.D.C, Umbergaon, Dist. Valsad, Gujarat, India – 396171"
Dr Reddys Laboratories Limited,"8-2-337, Road No. 3, Banjara Hills, Hyderabad – 500 034,  Telangana, India","8-2-337, Road No. 3, Banjara Hills, Hyderabad – 500 034,  Telangana, India","8-2-337, Road No. 3, Banjara Hills, Hyderabad – 500 034,  Telangana, India"
Easy Trip Planners Limited,"223 FIE Patparganj Industrial Area, East Delhi,
Delhi-110092","223 FIE Patparganj Industrial Area, East Delhi,
Delhi-110092","223 FIE Patparganj Industrial Area, East Delhi,
Delhi-110092"
eClerx Services Limited,"Sonawala Building, 1st Floor, 29 Bank Street, Fort, Mumbai – 400 023, Maharashtra, India","4th Floor, Express Towers, Nariman Point, Mumbai – 400021","4th Floor, Express Towers, Nariman Point, Mumbai – 400021"
EICHER MOTORS LIMITED,"Office Number 1111, 11th Floor, Ashoka Estate, Plot no. 24, Barakhamba Road, New Delhi - 110001, India","#96, Sector 32, Gurugram- 122 001, Haryana, India","#96, Sector 32, Gurugram- 122 001, Haryana, India"
EIH Limited,"N-806-A, 8th Floor, Diamond Heritage Building, 16, Strand Road, Fairley Place, Kolkata – 700 001 West Bengal","7 Shamnath Marg, Delhi – 110054","7 Shamnath Marg, Delhi – 110054"
Electronics Mart India Limited,"6-1-91, Shop No. 10, Ground Floor, Next to Telephone Bhawan, Secretariat Road, Saifabad, Hyderabad,Telangana - 500004","6-3-666/A1 to 7, Opp. NIMS Hospital, Panjagutta Main Road, Hyderabad,Telangana - 500082","6-3-666/A1 to 7, Opp. NIMS Hospital, Panjagutta Main Road, Hyderabad,Telangana - 500082"
Electrosteel Castings Limited,"Rathod Colony, Rajgangpur, Sundergarh, Odisha 770 017","G. K. Tower, 19, Camac Street, Kolkata – 700017","G. K. Tower, 19, Camac Street, Kolkata – 700017"
Elgi Equipments Limited,"Elgi Industrial Complex III, Trichy Road, Singanallur Coimbatore -641 005","Elgi Industrial Complex III, Trichy Road, Singanallur Coimbatore -641 005","Elgi Industrial Complex III, Trichy Road, Singanallur Coimbatore -641 005"
Emami Limited,"Emami Tower, 687, Anandapur, E.M. Bypass, Kolkata 700107","Emami Tower, 687, Anandapur, E.M. Bypass, Kolkata 700107","Emami Tower, 687, Anandapur, E.M. Bypass, Kolkata 700107"
Endurance Technologies Limited,"E-92, MIDC Industrial Area, Waluj, Chh. Sambhajinagar - 431 136, Maharashtra","E-92, MIDC Industrial Area, Waluj, Chh. Sambhajinagar - 431 136, Maharashtra","E-92, MIDC Industrial Area, Waluj, Chh. Sambhajinagar - 431 136, Maharashtra"
Engineers India Limited,"Engineers India Bhavan, 1, Bhikaji Cama Place, New Delhi -110066","Engineers India Bhavan, 1, Bhikaji Cama Place, New Delhi -110066","Engineers India Bhavan, 1, Bhikaji Cama Place, New Delhi -110066"
Equitas Small Finance Bank Limited,"4th Floor, Phase II, Spencer Plaza No.769,
Mount Road, Anna Salai,
Chennai – 600 002, Tamil Nadu","4th Floor, Phase II, Spencer Plaza No.769,
Mount Road, Anna Salai,
Chennai – 600 002, Tamil Nadu","4th Floor, Phase II, Spencer Plaza No.769,
Mount Road, Anna Salai,
Chennai – 600 002, Tamil Nadu"
Eris Lifesciences Limited,"Shivarth Ambit, Plot No 142/2, Ramdas Road, Off SBR, Near Swati Bungalows, Bodakdev, Ahmedabad, Gujarat-380054","Shivarth Ambit, Plot No 142/2, Ramdas Road, Off SBR, Near Swati Bungalows, Bodakdev, Ahmedabad, Gujarat-380054","Shivarth Ambit, Plot No 142/2, Ramdas Road, Off SBR, Near Swati Bungalows, Bodakdev, Ahmedabad, Gujarat-380054"
ESAB India Limited,"No.13, 3rd Main Road, Industrial Estate, Ambattur,Chennai 600 058.","No.13, 3rd Main Road, Industrial Estate, Ambattur,Chennai 600 058.","No.13, 3rd Main Road, Industrial Estate, Ambattur,Chennai 600 058."
Escorts Kubota Limited,"15/5, Mathura Road, Faridabad, Haryana – 121003, India","15/5, Mathura Road, Faridabad, Haryana – 121003, India","15/5, Mathura Road, Faridabad, Haryana – 121003, India"
Eureka Forbes Limited,"B1/B2, 7th Floor, 701, Marathon Innova, Ganpatrao Kadam Marg, Lower Parel, Mumbai – 400013","B1/B2, 7th Floor, 701, Marathon Innova, Ganpatrao Kadam Marg, Lower Parel, Mumbai – 400013","B1/B2, 7th Floor, 701, Marathon Innova, Ganpatrao Kadam Marg, Lower Parel, Mumbai – 400013"
Exide Industries Limited,"Exide House, 59E Chowringhee Road, Kolkata - 700020","Exide House, 59E Chowringhee Road, Kolkata - 700020","Exide House, 59E Chowringhee Road, Kolkata - 700020"
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,"Eloor Udyogamandal, Ernakulam District, Kerala - 683501","Eloor Udyogamandal, Ernakulam District, Kerala - 683501","Eloor Udyogamandal, Ernakulam District, Kerala - 683501"
FINE ORGANIC INDUSTRIES LIMITED,"Fine House, Anandji Street, Off M. G. Road, Ghatkopar East, Mumbai- 400077, Maharashtra, India","Fine House, Anandji Street, Off M. G. Road, Ghatkopar East, Mumbai- 400077, Maharashtra, India","Fine House, Anandji Street, Off M. G. Road, Ghatkopar East, Mumbai- 400077, Maharashtra, India"
Finolex Cables Limited,"26-27 Mumbai-Pune Road, Pimpri, Pune - 411 018,
Maharashtra, India","26-27 Mumbai-Pune Road, Pimpri, Pune - 411 018,
Maharashtra, India","26-27 Mumbai-Pune Road, Pimpri, Pune - 411 018,
Maharashtra, India"
Finolex Industries Limited,"Gat No.399, Village Urse, Taluka Maval, District Pune, Maharashtra, India - 410506","IndiQube - The Kode, 11th Floor, Baner-Pashan Link Road Baner Gaon, Pune, Maharashtra, India - 411045","IndiQube - The Kode, 11th Floor, Baner-Pashan Link Road Baner Gaon, Pune, Maharashtra, India - 411045"
Firstsource Solutions Limited,"5th Floor, Paradigm ‘B’ Wing, Mindspace, Link Road, Malad - West, Mumbai - 400064, India","5th Floor, Paradigm ‘B’ Wing, Mindspace, Link Road, Malad - West, Mumbai - 400064, India","5th Floor, Paradigm ‘B’ Wing, Mindspace, Link Road, Malad - West, Mumbai - 400064, India"
Five-Star Business Finance Limited,"New No.27, Old No.4, Taylor's Road, Kilpauk, Chennai - 600010","New No.27, Old No.4, Taylor's Road, Kilpauk, Chennai - 600010","New No.27, Old No.4, Taylor's Road, Kilpauk, Chennai - 600010"
Force Motors Ltd,"Mumbai-Pune Road, Akurdi, Pune – 411 035","Mumbai-Pune Road, Akurdi, Pune – 411 035","Mumbai-Pune Road, Akurdi, Pune – 411 035"
Fortis Healthcare Limited,"Fortis Hospital, Sector 62, Phase VIII, Mohali-160062, Punjab","Tower A, 3rd Floor, Unitech Business Park, South City-1, Gurugram, Haryana- 120001","Tower A, 3rd Floor, Unitech Business Park, South City-1, Gurugram, Haryana- 120001"
GAIL India Limited,"16, Bhikaji Cama Place, R.K Puram, New Delhi-110066","16, Bhikaji Cama Place, R.K Puram, New Delhi-110066","16, Bhikaji Cama Place, R.K Puram, New Delhi-110066"
GALAXY SURFACTANTS LIMITED,"C-49/2, TTC Industrial Area, Pawne, Navi Mumbai, Maharashtra – 400703","C-49/2, TTC Industrial Area, Pawne, Navi Mumbai, Maharashtra – 400703","C-49/2, TTC Industrial Area, Pawne, Navi Mumbai, Maharashtra – 400703"
Garden Reach Shipbuilders  Engineers Limited,"GRSE Bhavan, 61, Garden Reach Road, Kolkata, West Bengal – 700 024","GRSE Bhavan, 61, Garden Reach Road, Kolkata, West Bengal – 700 024","GRSE Bhavan, 61, Garden Reach Road, Kolkata, West Bengal – 700 024"
General Insurance Corporation of India,"‘Suraksha’, 170, J. T. Road, Churchgate, Mumbai – 400020","‘Suraksha’, 170, J. T. Road, Churchgate, Mumbai – 400020","‘Suraksha’, 170, J. T. Road, Churchgate, Mumbai – 400020"
Genus Power Infrastructures Limited,"G-123, Sector-63, Noida, Uttar Pradesh – 201307","SPL-3, RIICO Industrial Area, Sitapura, Tonk Road, Jaipur, Rajasthan – 302022","SPL-3, RIICO Industrial Area, Sitapura, Tonk Road, Jaipur, Rajasthan – 302022"
Gillette India Limited,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri (East), Mumbai – 400099","P&G Plaza, Cardinal Gracias Road, Chakala, Andheri (East), Mumbai – 400099","P&G Plaza, Cardinal Gracias Road, Chakala, Andheri (East), Mumbai – 400099"
GLAND PHARMA LIMITED,"SY.NO.143-148,150 &151, NEAR GANDI MAISAMMA X ROADS D.P.PALLY, DUNDIGAL ,DUNDIGAL - GANDIMAISAMMA(M), Rangareddi, MEDCHAL MALKAJGIRIDISTRICT HYDERABAD, Telangana, India, 500043","Plot No.11& 84,TSIIC, Phase-IV, Pashamylaram (V), Patancheru (M), Sangareddy District, Hyderabad, Telangana, India, 502307","Plot No.11& 84,TSIIC, Phase-IV, Pashamylaram (V), Patancheru (M), Sangareddy District, Hyderabad, Telangana, India, 502307"
GlaxoSmithKline Pharmaceuticals Limited,"GlaxoSmithKline Pharmaceuticals Limited, GSK House, Worli, Dr Annie
Besant Road, Mumbai- 400030","GlaxoSmithKline Pharmaceuticals Limited, GSK House, Worli, Dr Annie
Besant Road, Mumbai- 400030","GlaxoSmithKline Pharmaceuticals Limited, GSK House, Worli, Dr Annie
Besant Road, Mumbai- 400030"
Glenmark Pharmaceuticals Limited,"B/2, Mahalaxmi Chambers, 22, Bhulabhai Desai Road,
Mumbai - 400026, Maharashtra, India","Glenmark House, B. D. Sawant Marg, Chakala,
Off Western Express Highway, Andheri (E),
Mumbai - 400 099, Maharashtra, India","Glenmark House, B. D. Sawant Marg, Chakala,
Off Western Express Highway, Andheri (E),
Mumbai - 400 099, Maharashtra, India"
GLOBAL HEALTH LIMITED,"MEDANTA-MEDICLINIC, E-18, DEFENCE COLONY, 
NEW DELHI 110024","“Medanta The Medicity”, Sector 38, Gurugram, Haryana 122001","“Medanta The Medicity”, Sector 38, Gurugram, Haryana 122001"
GODAWARI POWER AND ISPAT LIMITED,"PLOT NO.428/2, PHASE- 1 INDUSTRIAL AREA, SILTARA, RAIPUR, Chattisgarh, India, 492001","Hira Arcade, Near New Bus Stand, Pandri, Raipur Chhattisgarh 492001","Hira Arcade, Near New Bus Stand, Pandri, Raipur Chhattisgarh 492001"
GODFREY PHILLIPS INDIA LIMITED,"Macropolo Building, Ground Floor, Rd. Babasaheb Ambedkar Road, Lalbaug, Mumbai– 400033, Maharashtra","14, Omaxe Square, Jasola District Centre, New Delhi, Delhi 110025","14, Omaxe Square, Jasola District Centre, New Delhi, Delhi 110025"
GODREJ AGROVET LIMITED,"“Godrej One”, 3rd Floor,  Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai – 400 079,  Maharashtra, India","“Godrej One”, 3rd Floor,  Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai – 400 079,  Maharashtra, India","“Godrej One”, 3rd Floor,  Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai – 400 079,  Maharashtra, India"
Godrej Consumer Products Limited,"Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli
(E), Mumbai 400 079","Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli
(E), Mumbai 400 079","Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli
(E), Mumbai 400 079"
Godrej Industries Limited,"Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai – 400 079, Maharashtra.","Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai – 400 079, Maharashtra.","Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai – 400 079, Maharashtra."
Godrej Properties Limited,"Godrej One, 5th Floor, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai – 400079","Godrej One, 5th Floor, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai – 400079","Godrej One, 5th Floor, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai – 400079"
Go Digit General Insurance Limited,"1st to 6th Floor, Ananta One, Pride Hotel Lane, Narveer Tanaji Wadi, City Survey No.1579, Shivajinagar, Pune, Pune, Maharashtra, India, 411005","Atlantis, 95, 4th B Cross Road, Koramangala Industrial Layout, 5th Block, Bengaluru 560095","Atlantis, 95, 4th B Cross Road, Koramangala Industrial Layout, 5th Block, Bengaluru 560095"
GRANULES INDIA LIMITED,"15th Floor, Granules Tower,Botanical Garden Road, Kondapur, Hyderabad – 500084, Telangana, India.","15th Floor, Granules Tower, Botanical Garden Road, Kondapur, Hyderabad – 500084, Telangana, India.","15th Floor, Granules Tower, Botanical Garden Road, Kondapur, Hyderabad – 500084, Telangana, India."
GRAPHITE INDIA LIMITED,"31, Chowringhee Road, Kolkata - 700 016","31, Chowringhee Road, Kolkata - 700 016","31, Chowringhee Road, Kolkata - 700 016"
Grasim Industries Limited,"Birlagram, Nagda – 456 331, Madhya Pradesh, India","Aditya Birla Centre, ‘A’ Wing, 2nd Floor,S. K. Ahire Marg, Worli, Mumbai – 400 030, Maharashtra, India","Aditya Birla Centre, ‘A’ Wing, 2nd Floor,S. K. Ahire Marg, Worli, Mumbai – 400 030, Maharashtra, India"
Grindwell Norton Limited,"5th Level, Leela Business Park, Andheri-Kurla Road Marol, Andheri (East), Mumbai 400 059","5th Level, Leela Business Park, Andheri-Kurla Road Marol, Andheri (East), Mumbai 400 059","5th Level, Leela Business Park, Andheri-Kurla Road Marol, Andheri (East), Mumbai 400 059"
Gujarat Ambuja Exports Limited,"""Ambuja Tower"", Opp. Sindhu Bhavan, Sindhu Bhavan Road, PO - Thaltej, Bodakdev, Ahmedabad - 380054","""Ambuja Tower"", Opp. Sindhu Bhavan, Sindhu Bhavan Road, PO - Thaltej, Bodakdev, Ahmedabad - 380054","""Ambuja Tower"", Opp. Sindhu Bhavan, Sindhu Bhavan Road, PO - Thaltej, Bodakdev, Ahmedabad - 380054"
Gujarat Fluorochemicals Limited,"Plot No. 1, Khasra Nos. 264 to 267, Industrial Area, Village Basal, Una, Himachal Pradesh - 174303","Inox Towers, 17 Sector 16 A, Noida - 201301, Uttar Pradesh","Inox Towers, 17 Sector 16 A, Noida - 201301, Uttar Pradesh"
GUJARAT GAS LIMITED,"Gujarat Gas Limited, Gujarat Gas CNG Station Sector 5/C, Gandhinagar, Gandhinagar, Gujarat, India, 382006","Office No. 4 & 5, Gr. Floor IT Tower-2, Infocity, Gandhinagar,Gujarat - 382009","Office No. 4 & 5, Gr. Floor IT Tower-2, Infocity, Gandhinagar,Gujarat - 382009"
Gujarat Pipavav Port Limited,"Pipavav Port, At Post Rampara-2 via Rajula Dist Amreli - 365560","5th Floor, Godrej Two, Pirojshanagar, Vikhroli East, Mumbai - 400079","5th Floor, Godrej Two, Pirojshanagar, Vikhroli East, Mumbai - 400079"
Gujarat State Petronet Limited,"GSPC Bhavan, Behind Udyog Bhavan, Sector-11, Gandhinagar-382 010, Gujarat, India.","GSPL Bhavan, E-18, GIDC Electronics Estate, Nr. K-7 Circle, Sector – 26, Gandhinagar","GSPL Bhavan, E-18, GIDC Electronics Estate, Nr. K-7 Circle, Sector – 26, Gandhinagar"
G R Infraprojects Limited,"Revenue Block No. 223, Old Survey No. 384/1, 384/2, Paiki and 384/3, Khata No. 464, Kochariya, Ahmedabad, Gujarat - 382220, India","G R Infraprojects Limited, 2nd Floor, Novus Tower, Plot No. 18, Sector 18, Gurugram, Haryana - 122015, India","G R Infraprojects Limited, 2nd Floor, Novus Tower, Plot No. 18, Sector 18, Gurugram, Haryana - 122015, India"
Happiest Minds Technologies Limited,"53/1-4, Hosur, Main Road, Madivala, Bengaluru-560068, Karnataka","53/1-4, Hosur, Main Road, Madivala, Bengaluru-560068, Karnataka","53/1-4, Hosur, Main Road, Madivala, Bengaluru-560068, Karnataka"
