Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,MSA_Intensity,Revenue_Cr,Revenue_Source,Revenue_Confidence,Sector_EIF_V5,MSA_Intensity_V5
Exide Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0368938799270569,17344.1401336,BRSR_XBRL,HIGH,0.75,0.022053557977140672
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.1629263979440158,5054.9261423,BRSR_XBRL,HIGH,0.75,0.08160356618233632
FINE ORGANIC INDUSTRIES LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.3373854883389593,2205.19441,BRSR_XBRL,HIGH,0.75,0.210865762171055
Finolex Cables Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.1082928520667546,5318.89,BRSR_XBRL,HIGH,0.75,0.06768329482279196
Finolex Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.1506530004567322,4566.836077,BRSR_XBRL,HIGH,0.75,0.08539829182049269
Firstsource Solutions Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.3017451672667528,2346.843,BRSR_XBRL,HIGH,0.75,0.18535539019866262
Five-Star Business Finance Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.1896080020095475,2866.0239,BRSR_XBRL,HIGH,0.75,0.11775896216357443
Force Motors Ltd,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.062944950970441,8071.2325704,BRSR_XBRL,HIGH,0.75,0.03902749638948751
Fortis Healthcare Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,9374.956916465746,6931.167,BRSR_XBRL,HIGH,0.75,0.05518551205013528
G R Infraprojects Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.1012958213283756,80132.537,BRSR_XBRL,HIGH,0.75,0.005147721705104633
GAIL India Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,54192.64611619975,35537.0,Gemini_Low,LOW,0.75,0.013084953710217518
GALAXY SURFACTANTS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.1919187448079123,3001.27,BRSR_XBRL,HIGH,0.75,0.11994922149623326
GLAND PHARMA LIMITED,Pharmaceuticals,Chennai,Tamil Nadu,0.52,0.5,0.26,Tier 2,75%,0.0631658461558987,4334.094285633,BRSR_XBRL,HIGH,0.07,0.00839852518221895
GLOBAL HEALTH LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,18849.98821915124,3771.412,BRSR_XBRL,HIGH,0.75,0.11534141589410013
GODAWARI POWER AND ISPAT LIMITED,Power Generation,Hyderabad,Telangana,0.45,2.5,1.125,Tier 2,75%,0.2413518436701664,5042.1159505,BRSR_XBRL,HIGH,0.3,0.02677447351971602
GODFREY PHILLIPS INDIA LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0748337270494033,6734.931,BRSR_XBRL,HIGH,0.75,0.04677108050550184
GODREJ AGROVET LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0873154924693842,7087.799636,BRSR_XBRL,HIGH,0.75,0.053965972465872904
GRANULES INDIA LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.2179824760521178,3755.0,BRSR_XBRL,HIGH,0.75,0.10985352862849536
GRAPHITE INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.307437657627746,2894.382802882,BRSR_XBRL,HIGH,0.75,0.16065601258305892
GUJARAT GAS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.0335172955388883,17321.876384,BRSR_XBRL,HIGH,0.75,0.020782967850557315
Garden Reach Shipbuilders  Engineers Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.1229334297810778,5075.6877,BRSR_XBRL,HIGH,0.75,0.07683687867557336
General Insurance Corporation of India,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.0169585217162307,49231.65865432,BRSR_XBRL,HIGH,0.75,0.008835777869162434
Genus Power Infrastructures Limited,Power Generation,Hyderabad,Telangana,0.45,2.5,1.125,Tier 2,75%,0.4606902734199911,2442.0126352,BRSR_XBRL,HIGH,0.3,0.05528226924548388
Gillette India Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.2255227650680929,3217.389261499,BRSR_XBRL,HIGH,0.75,0.09790546756945402
GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,Ahmedabad,Gujarat,0.51,0.5,0.255,Tier 2,75%,0.0068481883320064,37234.876,BRSR_XBRL,HIGH,0.07,0.0009587785387011899
Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mumbai,Maharashtra,0.55,0.5,0.275,Tier 2,75%,0.0298058146913333,9226.4092796,BRSR_XBRL,HIGH,0.07,0.004172804265807416
Go Digit General Insurance Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.0723344433040695,10282.1407794,BRSR_XBRL,HIGH,0.75,0.04522404526220991
Godrej Consumer Products Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.0646453766151772,10055.0,BRSR_XBRL,HIGH,0.75,0.03580308304326205
Godrej Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.1495965701822601,4171.2152764,BRSR_XBRL,HIGH,0.75,0.09349793145574412
Godrej Properties Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.1413804050129199,4922.84,BRSR_XBRL,HIGH,0.75,0.0883636274995734
Grasim Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.0171085129919138,31563.2319949,BRSR_XBRL,HIGH,0.75,0.010692821319899477
Grindwell Norton Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.1841187158018032,2737.3643486630003,BRSR_XBRL,HIGH,0.75,0.11507419542226967
Gujarat Ambuja Exports Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.132680753192855,4926.9284899,BRSR_XBRL,HIGH,0.75,0.07763457512811668
Gujarat Fluorochemicals Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.1445927058124883,4564.55,BRSR_XBRL,HIGH,0.75,0.09037035414224842
Gujarat Pipavav Port Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.7532842518929544,988.429,BRSR_XBRL,HIGH,0.75,0.4704435017588517
Gujarat State Petronet Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.5185538925208903,2031.5390301,BRSR_XBRL,HIGH,0.75,0.17720555434383137
HCL Technologies Limited,Information Technology,Chennai,Tamil Nadu,0.52,0.1,0.052,Tier 2,75%,444.2356157206107,51105.0,BRSR_XBRL,HIGH,0.005,5.087564817532532e-05
HDFC Asset Management Company Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,1989691.340563662,3498.0295175,BRSR_XBRL,HIGH,0.75,0.12435572593763852
HDFC Bank Limited,Financial Services,Hyderabad,Telangana,0.45,0.01,0.0045,Tier 2,75%,1.3005617875265578e-05,346149.3235,BRSR_XBRL,HIGH,0.12,0.0001560020382359638
HDFC Life Insurance Company Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0070948733058338,71044.9130582,BRSR_XBRL,HIGH,0.75,0.004433814983233943
HEG Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.2842930316775409,2394.9,BRSR_XBRL,HIGH,0.75,0.15971439308530627
HERO MOTOCORP LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0161941120832348,40756.37,BRSR_XBRL,HIGH,0.75,0.010121117263387294
HFCL Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.1960349849643271,4174.72,BRSR_XBRL,HIGH,0.75,0.11138471562164647
HINDALCO INDUSTRIES LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.0061742209466496,93309.1167528,BRSR_XBRL,HIGH,0.75,0.003858143904134611
HINDUSTAN AERONAUTICS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.0201413444531853,30980.92,BRSR_XBRL,HIGH,0.75,0.012588393114213524
HINDUSTAN COPPER LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.3360746855685698,2070.967634962,BRSR_XBRL,HIGH,0.75,0.2100467398216881
HONEYWELL AUTOMATION INDIA LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.1288842733094884,4189.5423787,BRSR_XBRL,HIGH,0.75,0.08055772432709586
Happiest Minds Technologies Limited,Information Technology,Pune,Maharashtra,0.42,0.1,0.042,Tier 2,75%,0.0283521485889825,1481.373724,BRSR_XBRL,HIGH,0.005,0.0014176031112051774
Happy Forgings Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.4343831738763534,1408.895,BRSR_XBRL,HIGH,0.75,0.27148935868180385
Hindustan Petroleum Corporation Limited,Oil & Gas,Mumbai,Maharashtra,0.55,2.0,1.1,Tier 2,75%,0.0023694309342519,468762.09,BRSR_XBRL,HIGH,11.0,0.012906333786505646
Hindustan Unilever Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,120942.17858481084,63121.0,BRSR_XBRL,HIGH,0.75,0.007366803441010123
Hindustan Zinc Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.0168997271687077,34083.392369297995,BRSR_XBRL,HIGH,0.75,0.010562328893185076
Hitachi Energy India Limited,Power Generation,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,0.2036030596266714,6384.93,BRSR_XBRL,HIGH,0.3,0.024432530975280857
Home First Finance Company India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.5395348837209303,1529.95,BRSR_XBRL,HIGH,0.75,0.28432301709206176
Honasa Consumer Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.289390485993677,1865.7065781,BRSR_XBRL,HIGH,0.75,0.18089661255506942
ICICI Bank Limited,Financial Services,Pune,Maharashtra,0.42,0.01,0.0042,Tier 2,75%,2.1905963246944072e-05,191770.4843,BRSR_XBRL,HIGH,0.12,0.00026281416654898646
ICICI Lombard General Insurance Company Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0216516940923368,28257.7423149,BRSR_XBRL,HIGH,0.75,0.013536113244203233
ICICI Prudential Life Insurance Company Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0092981593518182,72135.0,BRSR_XBRL,HIGH,0.75,0.005718444583073404
IDBI Bank Limited,Financial Services,Delhi,Delhi,0.62,0.01,0.0062,Tier 2,75%,1832.7833505315996,33828.33,BRSR_XBRL,HIGH,0.12,0.0021993400206276807
IDFC FIRST Bank Limited,Financial Services,Bangalore,Karnataka,0.48,0.01,0.0048,Tier 2,75%,0.0001102840704406,43523.2,BRSR_XBRL,HIGH,0.12,0.0013234321005808397
IFCI Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.9176859266523,895.94,BRSR_XBRL,HIGH,0.75,0.4352970064959707
IIFL Finance Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.1711715554105024,4649.4352271,BRSR_XBRL,HIGH,0.75,0.09355975054013672
INDIAN OVERSEAS BANK,Financial Services,Hyderabad,Telangana,0.45,0.01,0.0045,Tier 2,75%,0.0001336301243065,33676.0771,BRSR_XBRL,HIGH,0.12,0.0016035121858062262
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0183225136328226,27156.41,BRSR_XBRL,HIGH,0.75,0.011599471358695792
INOX India Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.4721122055184675,1296.2996,BRSR_XBRL,HIGH,0.75,0.29507067656273284
INTELLECT DESIGN ARENA LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.4053805152546102,1735.253,BRSR_XBRL,HIGH,0.75,0.237717497102728
IRB Infrastructure Developers Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.0926348859873807,8201.761,BRSR_XBRL,HIGH,0.75,0.05669514144584315
ISGEC Heavy Engineering Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.1152,5079.376283,BRSR_XBRL,HIGH,0.75,0.0708748436702499
ITC Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.0083954867977201,74325.648415,BRSR_XBRL,HIGH,0.75,0.005247179248574067
Indegene Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.6364883401920438,1184.0,BRSR_XBRL,HIGH,0.75,0.3673986486486486
Indian Energy Exchange Limited,Power Generation,Hyderabad,Telangana,0.45,2.5,1.125,Tier 2,75%,2.1013500754006147,535.3701804,BRSR_XBRL,HIGH,0.3,0.2521619711787743
Indian Oil Corporation Limited,Oil & Gas,Pune,Maharashtra,0.42,2.0,0.84,Tier 2,75%,0.0009938004532599,866345.0,BRSR_XBRL,HIGH,11.0,0.005332748500885906
Indian Renewable Energy Development Agency Limited,Power Generation,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,0.1887409305443996,6754.7839270330005,BRSR_XBRL,HIGH,0.3,0.022650613498928655
Indus Towers Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0219103302020259,30122.7800391,BRSR_XBRL,HIGH,0.75,0.013693955188218565
IndusInd Bank Limited,Financial Services,Delhi,Delhi,0.62,0.01,0.0062,Tier 2,75%,0.0002320196081134,55136.0564,BRSR_XBRL,HIGH,0.12,0.001349389217470403
Infibeam Avenues Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.1546027057363974,3726.5139835,BRSR_XBRL,HIGH,0.75,0.09660503129573189
Infosys Limited,Information Technology,Chennai,Tamil Nadu,0.52,0.1,0.052,Tier 2,75%,0.0003190559173316,162989.649114318,BRSR_XBRL,HIGH,0.005,1.5951933230903562e-05
Inox Wind Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.1954115983026874,3563.181081238,BRSR_XBRL,HIGH,0.75,0.12208192345050917
InterGlobe Aviation Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.0066829208783398,89593.6268232,BRSR_XBRL,HIGH,0.75,0.0037670090157864377
Ion Exchange India Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.1984225529272667,2540.0625,BRSR_XBRL,HIGH,0.75,0.12401269653797889
Ipca Laboratories Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.906772811915132,674.921,BRSR_XBRL,HIGH,0.75,0.5667329954172414
Ircon International Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0647493265155084,11950.4,BRSR_XBRL,HIGH,0.75,0.03451767304860089
JAI BALAJI INDUSTRIES LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.1171505218200721,6431.7802011,BRSR_XBRL,HIGH,0.75,0.0722972467125778
JAIPRAKASH POWER VENTURES LIMITED,Power Generation,Bangalore,Karnataka,0.48,2.5,1.2,Tier 2,75%,0.219691648090648,6762.789501741,BRSR_XBRL,HIGH,0.3,0.021292988634782864
JBM Auto Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.1140278656329533,5472.332102,BRSR_XBRL,HIGH,0.75,0.07126760451133161
JINDAL STEEL  POWER LIMITED,Steel & Iron,Kolkata,West Bengal,0.58,1.8,1.044,Tier 2,75%,0.0217944970982422,50009.39,BRSR_XBRL,HIGH,1.8,0.020876079472275107
JK CEMENT LIMITED,Cement,Hyderabad,Telangana,0.45,1.0,0.45,Tier 2,75%,0.0405661274076691,11093.0,BRSR_XBRL,HIGH,0.17,0.006896240872622375
JK LAKSHMI CEMENT LIMITED,Cement,Pune,Maharashtra,0.42,1.0,0.42,Tier 2,75%,0.0672462915965709,6383.781889,BRSR_XBRL,HIGH,0.17,0.011184592650796939
JK Tyre  Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,601395.5915345575,10349.4923845,BRSR_XBRL,HIGH,0.75,0.0369583343597464
JM Financial Limited,Financial Services,Mumbai,Maharashtra,0.55,0.01,0.0055,Tier 2,75%,0.005302529031685,1037.2672903,BRSR_XBRL,HIGH,0.12,0.06362872966032833
JSW Energy Limited,Steel & Iron,Delhi,Delhi,0.62,1.8,1.116,Tier 2,75%,0.0882946749726428,12639.493685857,BRSR_XBRL,HIGH,1.8,0.08829467601607742
JSW Infrastructure Limited,Steel & Iron,Bangalore,Karnataka,0.48,1.8,0.864,Tier 2,75%,0.1930228885865082,4476.144197005,BRSR_XBRL,HIGH,1.8,0.19302327225698063
JSW Steel Limited,Steel & Iron,Chennai,Tamil Nadu,0.52,1.8,0.936,Tier 2,75%,0.0074476036931419,133609.0,BRSR_XBRL,HIGH,1.8,0.007005516095472611
JUBILANT INGREVIA LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.1666022283803766,4177.6161281,BRSR_XBRL,HIGH,0.75,0.10412636936027916
JYOTHY LABS LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.1898787580980815,2843.92,BRSR_XBRL,HIGH,0.75,0.11867422431010718
JYOTI CNC AUTOMATION LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.3120680342599107,1631.4701181,BRSR_XBRL,HIGH,0.75,0.19307739474066926
Jindal Stainless Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0152307085698195,40816.88,BRSR_XBRL,HIGH,0.75,0.009371122927573102
Jio Financial Services Limited,Financial Services,Mumbai,Maharashtra,0.55,0.01,0.0055,Tier 2,75%,0.0068271382866244,805.56,BRSR_XBRL,HIGH,0.12,0.08193058245195889
Jubilant FoodWorks Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.1218739196640412,6104.666159293,BRSR_XBRL,HIGH,0.75,0.07617124145144949
Jubilant Pharmova Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.0793289989577646,7234.5,BRSR_XBRL,HIGH,0.75,0.04976155919552146
Juniper Hotels Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,66082.61915870996,944.2725,BRSR_XBRL,HIGH,0.75,0.4130163697449624
Jupiter Life Line Hospitals Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.6566109429383123,1059.998,BRSR_XBRL,HIGH,0.75,0.41037813278892976
Jupiter Wagons Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.1395118276943828,3870.625,BRSR_XBRL,HIGH,0.75,0.0871952204101405
Just Dial Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.4413611414264501,1141.9279304,BRSR_XBRL,HIGH,0.75,0.2758492822657033
KARUR VYSYA BANK LIMITED,Financial Services,Ahmedabad,Gujarat,0.51,0.01,0.0051,Tier 2,75%,4431.857582694704,11507.592446819,BRSR_XBRL,HIGH,0.12,0.0053182279684329
KEC International Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0333811886735417,21847.0,BRSR_XBRL,HIGH,0.75,0.018881310935139835
KEI INDUSTRIES LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.0764180789631528,9735.8768286,BRSR_XBRL,HIGH,0.75,0.047761491664933695
KFin Technologies Limited,Information Technology,Bangalore,Karnataka,0.48,0.1,0.048,Tier 2,75%,0.0454774495554563,1055.499,BRSR_XBRL,HIGH,0.005,0.002273806038660387
KIOCL Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,1.0582519060420432,1851.9977775,BRSR_XBRL,HIGH,0.75,0.21058340605919004
KNR Constructions Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.2191236111332954,3970.615007,BRSR_XBRL,HIGH,0.75,0.10955481688179697
KOTAK MAHINDRA BANK LIMITED,Financial Services,Hyderabad,Telangana,0.45,0.01,0.0045,Tier 2,75%,6.629280109005575e-05,67880.8637,BRSR_XBRL,HIGH,0.12,0.0007955113865176114
KPI GREEN ENERGY LIMITED,Power Generation,Pune,Maharashtra,0.42,2.5,1.05,Tier 2,75%,0.6050247042704605,1755.157559945,BRSR_XBRL,HIGH,0.3,0.07178842679169405
KPIT Technologies Limited,Information Technology,Ahmedabad,Gujarat,0.51,0.1,0.051,Tier 2,75%,0.0198905106677963,2563.934,BRSR_XBRL,HIGH,0.005,0.0009945653827282605
KPR MILL LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.1499708605840834,4396.51,BRSR_XBRL,HIGH,0.75,0.09382441982390578
Kajaria Ceramics Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.1605177661361834,4683.24,BRSR_XBRL,HIGH,0.75,0.09929023496553667
Kalpataru Projects International Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.0304957282632578,18888.0,BRSR_XBRL,HIGH,0.75,0.01905972045743329
Kalyan Jewellers India Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.0288359645559771,21638.595,BRSR_XBRL,HIGH,0.75,0.018023351331267118
Kansai Nerolac Paints Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,,7496.71,BRSR_XBRL,HIGH,0.75,0.05802545383241448
Kaynes Technology India Limited,Information Technology,Hyderabad,Telangana,0.45,0.1,0.045,Tier 2,75%,0.0234937603957547,1915.443,BRSR_XBRL,HIGH,0.005,0.001174662989188402
Keystone Realtors Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.9153044399056932,1010.4518676,BRSR_XBRL,HIGH,0.75,0.3117417168500862
Kirloskar Brothers Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.2109338067360147,2901.391456,BRSR_XBRL,HIGH,0.75,0.13183329647193942
Kirloskar Oil Engines Limited,Oil & Gas,Mumbai,Maharashtra,0.55,2.0,1.1,Tier 2,75%,131760.34164162943,5072.71,BRSR_XBRL,HIGH,11.0,1.1926563907654884
Krishna Institute of Medical Sciences Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.5375436226891941,12222.0543576,BRSR_XBRL,HIGH,0.75,0.038045977083292104
LAURUS LABS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.112346794028237,5217.0,BRSR_XBRL,HIGH,0.75,0.06900517538815411
LIC Housing Finance Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.0222508237389868,28056.22,BRSR_XBRL,HIGH,0.75,0.013900660887318391
Latent View Analytics Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,2.0049136969488965,347.125,BRSR_XBRL,HIGH,0.75,1.2531508822470292
Lemon Tree Hotels Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.4198804351230166,1450.3252215,BRSR_XBRL,HIGH,0.75,0.23270642680469997
Life Insurance Corporation of India,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0010310975551086,965969.501817298,BRSR_XBRL,HIGH,0.75,0.00032609725193951164
Linde India Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.2462332056684829,2845.681,BRSR_XBRL,HIGH,0.75,0.1344142228169637
Lloyds Metals and Energy Limited,Power Generation,Mumbai,Maharashtra,0.55,2.5,1.375,Tier 2,75%,0.203020289999085,7855.112365401,BRSR_XBRL,HIGH,0.3,0.021005428353484394
Lupin Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.0452044448760456,164585.0,BRSR_XBRL,HIGH,0.75,0.002825287845186378
MACROTECH DEVELOPERS LIMITED,Information Technology,Bangalore,Karnataka,0.48,0.1,0.048,Tier 2,75%,0.0034833094065609,13779.5,BRSR_XBRL,HIGH,0.005,0.0001741717769149824
MAHARASHTRA SCOOTERS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,208.6954727469732,223.5385027,BRSR_XBRL,HIGH,0.75,1.744665886589568
MANKIND PHARMA LIMITED,Pharmaceuticals,Kolkata,West Bengal,0.58,0.5,0.29,Tier 2,75%,305333.866790168,9497.8,BRSR_XBRL,HIGH,0.07,0.004274674135062858
MAX HEALTHCARE INSTITUTE LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.7683551620475771,7028.46,BRSR_XBRL,HIGH,0.75,0.048019053960611575
MMTC LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,,5.34,BRSR_XBRL,HIGH,0.75,58.98876404494383
