Tag,Frequency,Example_Value,Sample_Company
WhetherDetailsOfAnyCorrectiveActionsTakenOrUnderwayToAddressSignificantRisksOrConcernsArisingFromTheAssessmentsOfValueChainPartnerIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfTotalEnergyConsumptionInJoulesOrMultiplesAndEnergyIntensityIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfTotalEnergyConsumptionInJoulesOrMultiplesAndEnergyIntensity,61,Reasonable,360 ONE WAM LIMITED
AssurerHasAssuredWhetherTheEntityHaveAnySitesOrFacilitiesIdentifiedAsDesignatedConsumersUnderThePerformanceAchieveAndTradeSchemeOfTheGovernmentOfIndia,61,false,360 ONE WAM LIMITED
WhetherDetailsOfTheDisclosuresRelatedToWaterWithdrawalIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
WhetherDetailsOfTheDisclosuresRelatedToWaterDischargedIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
WhetherDetailsOfAirEmissionsOtherThanGhgEmissionsByTheEntityIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfGreenHouseGasEmissionsAndItsIntensityIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfGreenHouseGasEmissionsAndItsIntensity,61,Reasonable,360 ONE WAM LIMITED
WhetherDetailsRelatedToWasteManagementByTheEntityIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
WhetherDetailsOfWasteManagementPracticesAdoptedInYourEstablishmentsAndTheStrategyAdoptedByCompanyToReduceUsageOfHazardousAndToxicChemicalsIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfOperationsOrOfficesInOrAroundEcologicallySensitiveAreasWhereEnvironmentalApprovalsOrClearancesAreRequiredIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfEnvironmentalImpactAssessmentsOfProjectsUndertakenByTheEntityBasedOnApplicableLawsIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfTotalScope3EmissionsAndItsIntensityIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfSignificantDirectAndIndirectImpactOfTheEntityOnBiodiversityInSuchAreasAlongWithPreventionAndRemediationActivitiesIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherTheEntityIsAMemberOfOrAffiliatedToTradeAndIndustryChambersOrAssociationsDeterminedBasedOnTheTotalMembersOfSuchBodyIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfCorrectiveActionTakenOrUnderwayOnAnyIssuesRelatedToAntiCompetitiveConductByTheEntityBasedOnAdverseOrdersFromRegulatoryAuthoritiesIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfPublicPolicyPositionsAdvocatedByTheEntityIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfSocialImpactAssessmentsOfProjectsUndertakenByTheEntityBasedOnApplicableLawsIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfProjectsForWhichOngoingRehabilitationAndResettlementIsBeingUndertakenByEntityIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDescribeTheMechanismsToReceiveAndRedressGrievancesOfTheCommunityIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfActionsTakenToMitigateAnyNegativeSocialImpactsIdentifiedInTheSocialImpactAssessmentsIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfCSRProjectsUndertakenInDesignatedAspirationalDistrictsAsIdentifiedByGovernmentBodiesIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfTheBenefitsDerivedAndSharedFromTheIntellectualPropertiesOwnedOrAcquiredIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfCorrectiveActionsTakenOrUnderwayBasedOnAnyAdverseOrderInIntellectualPropertyRelatedDisputesWhereinUsageOfTraditionalKnowledgeIsInvolvedIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfBeneficiariesOfCSRProjectsIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfNumberOfConsumerComplaintsP9IsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfInstancesOfProductRecallsOnAccountOfSafetyIssuesIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfAnyCorrectiveActionsTakenOrUnderwayOnIssuesRelatingToAdvertisingAndDeliveryOfEssentialServicesOrCyberSecurityAndDataPrivacyOrRecallsOrPenaltyOrActionTakenByRegulatoryAuthoritiesOnSafetyOfProductsOrServicesIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDataBreachesInformationLikeNumberOfInstancesOfDataBreachesAlongWithImpactAndPercentageOfDataBreachesInvolvingPersonallyIdentifiableInformationOfCustomersIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
NumberOfGreenCreditsHaveBeenGeneratedOrProcuredByTheTopTenValueChainPartners,61,0,360 ONE WAM LIMITED
NameAndBriefDetailsOfProject,61,"Production capacity expansion
by 20% of existing production
capacity within the existing plant
facility for manufacturing of
Synthetic organic chemicals
(i.e. Dyes & Dye Intermediates,
Bulk Drugs and ",Aarti Industries Limited
EIANotificationNumber,61,"EIA Notification
S.O. 141(E)
[14-09-2006] as
amended",Aarti Industries Limited
AssuranceSubTypeForDetailsOfSafetyRelatedIncidents,60,Reasonable,360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfMedianOfRemunerationOrSalaryOrWagesAndWagesPaidToFemale,60,Reasonable,360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfTheDisclosuresRelatedToWaterWithdrawal,60,Reasonable,360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfTheDisclosuresRelatedToWaterDischarged,60,Reasonable,360 ONE WAM LIMITED
AssuranceSubTypeForDetailsRelatedToWasteManagementByTheEntity,60,Reasonable,360 ONE WAM LIMITED
AssuranceSubTypeForDataBreachesInformationLikeNumberOfInstancesOfDataBreachesAlongWithImpactAndPercentageOfDataBreachesInvolvingPersonallyIdentifiableInformationOfCustomers,59,Reasonable,360 ONE WAM LIMITED
NameAndBriefDetailsOfProjectSIA,59,NA,Aavas Financiers Limited
SIANotificationNumber,59,NA,Aavas Financiers Limited
WhetherGreenCreditsHaveBeenGeneratedOrProcuredByTheListedEntityAndTopTenValueChainPartnersIsAssuredByAssurer,58,false,360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfAirEmissionsOtherThanGhgEmissionsByTheEntity,36,Reasonable,Aarti Industries Limited
AssuranceSubTypeForDetailsOfEmployeesAsAtTheEndOfFinancialYear,32,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfTrainingGivenToEmployeesAndWorkers,30,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfMinimumWagesPaidToEmployeesAndWorkers,30,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfFinancialYearForWhichReportingIsBeingDone,29,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfPerformanceAndCareerDevelopmentReviewsOfEmployeesAndWorker,29,Reasonable,ABB India Limited
AssuranceSubTypeForAssessmentsOfYourPlantsAndOfficesThatWereAssessedForTheYearP3,29,Reasonable,ABB India Limited
DetailsOfTheCase,28,The Order passed by NSE on the contention that the certain transactions were done by the clients of DSL and that DSL did not take adequate measures to refrain its clients from entering into such trade,360 ONE WAM LIMITED
AssuranceSubTypeForReportingBoundary,28,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfNumberOfLocationsWherePlantsAndOrOperationsOrOfficesOfTheEntityAreSituated,28,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfRetirementBenefits,28,Reasonable,ABB India Limited
AssuranceSubTypeForMembershipOfEmployeesAndWorkerInAssociationsOrUnionsRecognisedByTheListedEntity,28,Reasonable,ABB India Limited
AssuranceSubTypeForAssessmentsOfYourPlantsAndOfficesThatWereAssessedForTheYearP5,28,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfTotalScope3EmissionsAndItsIntensity,27,Reasonable,Aarti Industries Limited
AssuranceSubTypeForCorporateIdentityNumber,27,Reasonable,ABB India Limited
AssuranceSubTypeForAddressOfRegisteredOfficeOfCompany,27,Reasonable,ABB India Limited
AssuranceSubTypeForAddressOfCorporateOfficeOfCompany,27,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfComplaintsMadeByEmployeesAndWorkersAsPerP5,27,Reasonable,ABB India Limited
AssuranceSubTypeForWebsiteOfCompany,26,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfTheStockExchangeWhereTheCompanyIsListed,26,Reasonable,ABB India Limited
AssuranceSubTypeForNameAndContactDetailsOfTheContactPersonInCaseOfAnyQueriesOnTheBRSRReport,26,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfComplaintsMadeByEmployeesAndWorkersAsPerP3,26,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfWasteManagementPracticesAdoptedInYourEstablishmentsAndTheStrategyAdoptedByCompanyToReduceUsageOfHazardousAndToxicChemicals,26,Reasonable,ABB India Limited
TheEnlistedPoliciesDoNotApplicableExtendToYourValueChainPartnersExplanatoryTextBlock,25,"360 ONE’s products and services do not have a significant direct impact on the environment. 

The Organisation however has formulated a Risk Management Policy to manage various risks including ESG, ap",360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnover,25,Reasonable,ABB India Limited
AssuranceSubTypeForProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnover,25,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfFinesOrPenaltiesOrPunishmentOrAwardOrCompoundingFeesOrSettlement,25,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfComplaintsWithRegardToConflictOfInterest,25,Reasonable,ABB India Limited
AssuranceSubTypeForThePremisesOrOfficesOfTheEntityAccessibleToDifferentlyAbledEmployeesAndWorkersAndStepsAreBeingTakenByTheEntityIfThePremisesOrOfficesOfTheEntityNotAccessible,25,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfNumberOfConsumerComplaintsP9,25,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfTheAppealOrRevisionPreferredInCasesWhereMonetaryOrNonMonetaryActionHasBeenAppealed,24,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsAndWeblinkOfAnAntiCorruptionOrAntiBriberyPolicyIsPlace,24,Reasonable,ABB India Limited
AssuranceSubTypeForNumberOfDirectorsOrKMPsOrEmployeesOrWorkersAgainstWhomDisciplinaryActionWasTakenByAnyLawEnforcementAgencyForTheChargesOfBriberyOrCorruption,24,Reasonable,ABB India Limited
AssuranceSubTypeForTheEntityIsAMemberOfOrAffiliatedToTradeAndIndustryChambersOrAssociationsDeterminedBasedOnTheTotalMembersOfSuchBody,24,Reasonable,ABB India Limited
AssuranceSubTypeForDescribeTheMechanismsToReceiveAndRedressGrievancesOfTheCommunity,24,Reasonable,ABB India Limited
AssuranceSubTypeForWhetherTheEnlistedPoliciesExtendToYourValueChainPartners,23,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfAnyCorrectiveActionTakenOrUnderwayOnIssuesRelatedToFinesOrPenaltiesOrActionTakenByRegulatorsOrLawEnforcementAgenciesOrJudicialInstitutionsOnCasesOfCorruptionAndConflictsOfInterest,23,Reasonable,ABB India Limited
AssuranceSubTypeForWhetherTheWasteCollectionPlanIsInLineWithTheExtendedProducerResponsibilityPlanSubmittedToPollutionControlBoardsAndStepsTakenToAddressTheWasteCollectionPlanIfNotSubmitted,23,Reasonable,ABB India Limited
AssuranceSubTypeForWhetherTheEntityHaveAnEqualOpportunityPolicyAsPerTheRightsOfPersonsWithDisabilitiesAct2016,23,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfAnyCorrectiveActionTakenOrUnderwayToAddressSafetyRelatedIncidentsOfYourPlantsAndOfficesThatWereAssessed,23,Reasonable,ABB India Limited
AssuranceSubTypeForListStakeholderGroupsIdentifiedAsKeyForYourEntityAndTheFrequencyOfEngagementWithEachStakeholderGroup,23,Reasonable,ABB India Limited
AssuranceSubTypeForWhetherDoYouHaveAFocalPointResponsibleForAddressingHumanRightsImpactsOrIssuesCausedOrContributedToByTheBusiness,23,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfAnyCorrectiveActionsTakenOrUnderwayToAddressSignificantRisksOrConcernsArisingFromTheAssessmentsOfPlantAndOffice,23,Reasonable,ABB India Limited
AssuranceSubTypeForWhetherTheEntityHaveAnySitesOrFacilitiesIdentifiedAsDesignatedConsumersUnderThePerformanceAchieveAndTradeSchemeOfTheGovernmentOfIndia,23,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfOperationsOrOfficesInOrAroundEcologicallySensitiveAreasWhereEnvironmentalApprovalsOrClearancesAreRequired,23,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfEnvironmentalImpactAssessmentsOfProjectsUndertakenByTheEntityBasedOnApplicableLaws,23,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfCorrectiveActionTakenOrUnderwayOnAnyIssuesRelatedToAntiCompetitiveConductByTheEntityBasedOnAdverseOrdersFromRegulatoryAuthorities,23,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfSocialImpactAssessmentsOfProjectsUndertakenByTheEntityBasedOnApplicableLaws,23,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfProjectsForWhichOngoingRehabilitationAndResettlementIsBeingUndertakenByEntity,23,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfBeneficiariesOfCSRProjects,23,Reasonable,ABB India Limited
RemarksForAssuranceOfDetailsOfMedianOfRemunerationOrSalaryOrWagesAndWagesPaidToFemale,22,"Reasonable Assurance obtained for ""Gross wages paid to females as % of wages paid""",360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfNumberOfEmployeesOrWorkersHavingSufferedHighConsequenceWorkRelatedInjuryOrIllHealthOrFatalitiesWhoOrWhoseFamilyMembersAreRehabilitatedAndPlacedInSuitableEmployment,22,Reasonable,Aarti Industries Limited
AssuranceSubTypeForStatementByDirectorResponsibleForTheBusinessResponsibilityReportHighlightingESGRelatedChallengesTargetsAndAchievements,22,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfTheHighestAuthorityResponsibleForImplementationAndOversightOfTheBusinessResponsibilityPolicy,22,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOnAssessmentOfValueChainPartnersP5,22,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfInstancesOfProductRecallsOnAccountOfSafetyIssues,22,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfAnyCorrectiveActionsTakenOrUnderwayOnIssuesRelatingToAdvertisingAndDeliveryOfEssentialServicesOrCyberSecurityAndDataPrivacyOrRecallsOrPenaltyOrActionTakenByRegulatoryAuthoritiesOnSafetyOfProductsOrServices,22,Reasonable,ABB India Limited
RemarksForAssuranceOfDetailsOfMeasuresForTheWellBeingOfEmployeesAndWorkersAndSpendingOnIt,21,"Reasonable Assurance obtained for ""Spending on measures towards well-being of employees and workers – cost incurred as a % of total revenue of the Company""",360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfMeasuresUndertakenByTheEntityToEnsureThatStatutoryDuesHaveBeenDeductedAndDepositedByTheValueChainPartners,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOnAssessmentOfValueChainPartnersP3,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfAnyCorrectiveActionTakenOrUnderwayToAddressSafetyRelatedIncidentsOnAssessmentOfValueChainPartners,21,Reasonable,ABB India Limited
AssuranceSubTypeForWhetherStakeholderConsultationIsUsedToSupportTheIdentificationAndManagementOfEnvironmentalAndSocialTopics,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfInstancesOfEngagementWithAndActionsTakenToAddressTheConcernsOfVulnerableOrMarginalizedStakeholderGroups,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfABusinessProcessBeingModifiedOrIntroducedAsAResultOfAddressingHumanRightsGrievancesOrComplaints,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfTheScopeAndCoverageOfAnyHumanRightsDueDiligenceConducted,21,Reasonable,ABB India Limited
AssuranceSubTypeForWhetherThePremiseOrOfficeOfTheEntityAccessibleToDifferentlyAbledVisitorsAsPerTheRequirementsOfTheRightsOfPersonsWithDisabilitiesAct2016,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfAnyCorrectiveActionsTakenOrUnderwayToAddressSignificantRisksOrConcernsArisingFromTheAssessmentsOfValueChainPartner,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfSignificantDirectAndIndirectImpactOfTheEntityOnBiodiversityInSuchAreasAlongWithPreventionAndRemediationActivities,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfPublicPolicyPositionsAdvocatedByTheEntity,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfActionsTakenToMitigateAnyNegativeSocialImpactsIdentifiedInTheSocialImpactAssessments,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfCSRProjectsUndertakenInDesignatedAspirationalDistrictsAsIdentifiedByGovernmentBodies,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfTheBenefitsDerivedAndSharedFromTheIntellectualPropertiesOwnedOrAcquired,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfCorrectiveActionsTakenOrUnderwayBasedOnAnyAdverseOrderInIntellectualPropertyRelatedDisputesWhereinUsageOfTraditionalKnowledgeIsInvolved,21,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfPercentageOfRecycledOrReusedInputMaterialToTotalMaterialByValueUsedInProductionOrProvidingServices,20,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfSignificantSocialOrEnvironmentalConcernsFromProductionOrDisposalOfProductOrServiceWithActionTakenToMitigateTheSame,19,Reasonable,ABB India Limited
AssuranceSubTypeForDetailsOfReclaimedProductsAndTheirPackagingMaterialsForEachProductCategory,19,Reasonable,ABB India Limited
AssuranceSubTypeForGreenCreditsHaveBeenGeneratedOrProcuredByTheListedEntityAndTopTenValueChainPartnersIsAssuredByAssurer,18,Reasonable,Adani Energy Solutions Limited
DetailsForGrievanceRedressalMechanismInPlaceIsNotApplicableExplanatoryTextBlock,18,NOT APPLICABLE,Aditya Birla Sun Life AMC Limited
ProcessesForWorkersToReportTheWorkRelatedHazardsAndToRemoveThemselvesFromSuchRisksIsNotApplicableExplanatoryTextBlock,14,360 ONE does not have workers on its payroll but pays utmost attention towards and takes care of the health and wellbeing of all its facilities and maintenance staff. Various wellness programs such as,360 ONE WAM LIMITED
RemarksForAssuranceOfNumberOfDaysOfAccountsPayables,13,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfConcentrationOfPurchasesAndSalesWithTradingHousesDealersAndRelatedPartiesAlongWithLoansAndAdvancesAndInvestmentsWithRelatedParties,13,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfDataBreachesInformationLikeNumberOfInstancesOfDataBreachesAlongWithImpactAndPercentageOfDataBreachesInvolvingPersonallyIdentifiableInformationOfCustomers,12,Nil,360 ONE WAM LIMITED
NumberOfFemaleEmployeesOrWorkers,12,508,ABB India Limited
RemarksForAssuranceOfDetailsOfSafetyRelatedIncidents,11,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfTheDisclosuresRelatedToWaterWithdrawal,11,Limited Assurance from Grant Thornton Bharat LLP,Aavas Financiers Limited
RemarksForAssuranceOfDetailsOfTheDisclosuresRelatedToWaterDischarged,11,Limited Assurance from Grant Thornton Bharat LLP,Aavas Financiers Limited
RemarksForAssuranceOfDetailsOfGreenHouseGasEmissionsAndItsIntensity,11,Limited Assurance from Grant Thornton Bharat LLP,Aavas Financiers Limited
DetailsOfTheEntityHasNotApplicableTranslatedThePolicyIntoProceduresExplanatoryTextBlock,10,"360 ONE’s products and services do not have a significant direct impact on the environment. 

The Organisation however has formulated a Risk Management Policy to manage various risks including ESG, ap",360 ONE WAM LIMITED
DetailsOfNegativeSocialImpactIdentified,10,Nil,Aarti Industries Limited
RemarksForAssuranceOfDetailsOfTotalEnergyConsumptionInJoulesOrMultiplesAndEnergyIntensity,10,Limited Assurance from Grant Thornton Bharat LLP,Aavas Financiers Limited
RemarksForAssuranceOfDetailsRelatedToWasteManagementByTheEntity,10,Limited Assurance from Grant Thornton Bharat LLP,Aavas Financiers Limited
NumberOfProjectAffectedFamilies,9,0,Aavas Financiers Limited
WhetherAnyStepsAreBeingTakenByTheEntityIfThePremisesOrOfficesOfTheEntityNotAccessibleToDifferentlyAbledEmployeesAndWorkersExplanatoryTextBlock,9,"Presently, we are compliant for certain disabilities. For all our new projects, the blueprints will be subjected to an assessment by the relevant authority and it will be compliant according to the Ac",ARVIND LIMITED
DetailsOfThePolicyIsNotApplicableExplanatoryTextBlock,8,"360 ONE’s products and services do not have a significant direct impact on the environment. 

The Organisation however has formulated a Risk Management Policy to manage various risks including ESG, ap",360 ONE WAM LIMITED
NameOfOtherAssessmentsOfPlantAndOffice,8,NIL,Aarti Industries Limited
PercentageOfOtherAssessmentsOfPlantAndOffice,8,0,Aarti Industries Limited
NameOrDetailsOfTheLawOrRegulationOrGuidelinesWhichWasNotCompliedWith,7,Air Act (Prevention and control of pollution) 1981,Ambuja Cements Limited
ProvideDetailsOfTheNonCompliance,7,Emission due to rupturing of pre-heater duct in Rauri Plant,Ambuja Cements Limited
DetailsOfYourEntitysPolicyOrPoliciesHasNotApplicableEachPrincipleAndItsCoreElementsOfTheNGRBCsExplanatoryTextBlock,5,"360 ONE’s products and services do not have a significant direct impact on the environment.
The Organisation however has formulated a Risk Management Policy to manage various risks
including ESG, appr",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfFinesOrPenaltiesOrPunishmentOrAwardOrCompoundingFeesOrSettlement,4,"The Order has been passed by NSE on the contention that certain transactions were done by the clients of 360 ONE Distribution Services Limited (“DSL”), wholly owned subsidiary of the Company and that ",360 ONE WAM LIMITED
RemarksForAssuranceOfMembershipOfEmployeesAndWorkerInAssociationsOrUnionsRecognisedByTheListedEntity,4,The Organisation does not have any employee associations.,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfTrainingGivenToEmployeesAndWorkers,4,"360 ONE provides training to its employees on various aspects such as personality development, computer skills, interpersonal skills and other domain specific training.",360 ONE WAM LIMITED
RemarksForAssuranceOfAssessmentsOfYourPlantsAndOfficesThatWereAssessedForTheYearP3,4,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOnAssessmentOfValueChainPartnersP5,4,"The Organisation endeavours to incorporate human rights requirements emanating from statutory requirements in its agreements with value chain partners. However, there are no assessments conducted.",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfAirEmissionsOtherThanGhgEmissionsByTheEntity,4,"360 ONE being the provider of financial services, air emissions other than GHG emissions are not material to the Organisation. Also, the Organisation has not carried out any independent assessment / e",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfWasteManagementPracticesAdoptedInYourEstablishmentsAndTheStrategyAdoptedByCompanyToReduceUsageOfHazardousAndToxicChemicals,4,"The Organisation's operations do not involve any usage of hazardous and toxic chemicals. However, 360 ONE monitors waste generated in its office and waste management initiatives such as waste segregat",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfNumberOfConsumerComplaintsP9,4,Not Applicable,360 ONE WAM LIMITED
DescriptionOfOtherStockExchangeWhereTheCompanyIsListed,4,Luxembourg Stock Exchange (GDRs),Aditya Birla Capital Limited
CountryOfOtherStockExchange,4,Luxembourg,Aditya Birla Capital Limited
RemarksForAssuranceOfCorporateIdentityNumber,4,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnover,4,NA,Ajanta Pharma Limited
RemarksForAssuranceOfProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnover,4,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfNumberOfLocationsWherePlantsAndOrOperationsOrOfficesOfTheEntityAreSituated,4,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfEmployeesAsAtTheEndOfFinancialYear,4,NA,Ajanta Pharma Limited
StepsTakenToAddressTheWasteCollectionPlanExplanatoryTextBlock,4,The company is in process of registration.,ALKYL AMINES CHEMICALS LIMITED
RemarksForAssuranceOfWhetherTheEnlistedPoliciesExtendToYourValueChainPartners,3,The enlisted policies are not extend to value chain partners,360 ONE WAM LIMITED
RemarksForAssuranceOfStatementByDirectorResponsibleForTheBusinessResponsibilityReportHighlightingESGRelatedChallengesTargetsAndAchievements,3,Covered in MD and CEO’s statement in the Annual Report.,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfTheAppealOrRevisionPreferredInCasesWhereMonetaryOrNonMonetaryActionHasBeenAppealed,3,"DSL has sent a review petition to NSE stating the following: 
•	As the Exchange has itself conceded, the trades were sent by the client using Non-Algo, internet-based terminals (IBT); they were not ex",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsAndWeblinkOfAnAntiCorruptionOrAntiBriberyPolicyIsPlace,3,"Yes, the Organisation has an anti-corruption policy which is available at:
https://x-docket.360.one/ir-assets/360ONE_Anti-Corruption_Policy.pdf",360 ONE WAM LIMITED
RemarksForAssuranceOfNumberOfDirectorsOrKMPsOrEmployeesOrWorkersAgainstWhomDisciplinaryActionWasTakenByAnyLawEnforcementAgencyForTheChargesOfBriberyOrCorruption,3,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfComplaintsWithRegardToConflictOfInterest,3,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfAnyCorrectiveActionTakenOrUnderwayOnIssuesRelatedToFinesOrPenaltiesOrActionTakenByRegulatorsOrLawEnforcementAgenciesOrJudicialInstitutionsOnCasesOfCorruptionAndConflictsOfInterest,3,No such incidents have been reported.,360 ONE WAM LIMITED
RemarksForAssuranceOfWhetherTheWasteCollectionPlanIsInLineWithTheExtendedProducerResponsibilityPlanSubmittedToPollutionControlBoardsAndStepsTakenToAddressTheWasteCollectionPlanIfNotSubmitted,3,"Since the Organisation is operating in the financial services sector, this question is not applicable.",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfSignificantSocialOrEnvironmentalConcernsFromProductionOrDisposalOfProductOrServiceWithActionTakenToMitigateTheSame,3,"Since the Organisation is operating in the financial services sector, this question is not applicable.",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfPercentageOfRecycledOrReusedInputMaterialToTotalMaterialByValueUsedInProductionOrProvidingServices,3,Not Applicable,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfReclaimedProductsAndTheirPackagingMaterialsForEachProductCategory,3,Not Applicable,360 ONE WAM LIMITED
RemarksForAssuranceOfWhetherTheEntityHaveAnEqualOpportunityPolicyAsPerTheRightsOfPersonsWithDisabilitiesAct2016,3,"Yes, 360 ONE has an Equal Opportunity and Commitment to Diversity policy in place which is available at:
https://x-docket.360.one/ir-assets/360ONE_Equal_Opportunity_and_Commitment_to_Diversity_Policy.",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfComplaintsMadeByEmployeesAndWorkersAsPerP3,3,Nil,360 ONE WAM LIMITED
