Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity
HFCL Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,37952409368.939285,1.960349849643271e-08
HINDALCO INDUSTRIES LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,932911220665.9106,6.174220946649694e-10
HINDUSTAN AERONAUTICS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,309810500212.81714,2.014134445318534e-09
HINDUSTAN COPPER LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,20709682397.604866,3.360746855685698e-08
HONEYWELL AUTOMATION INDIA LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,41898052115.58308,1.2888427330948845e-08
Happiest Minds Technologies Limited,Information Technology,Pune,Maharashtra,0.42,0.1,0.042,Tier 2,75%,14813692115.143929,2.835214858898256e-09
Happy Forgings Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,14088943513.594864,4.3438317387635344e-08
Hindustan Petroleum Corporation Limited,Oil & Gas,Mumbai,Maharashtra,0.55,2.0,1.1,Tier 2,75%,4642464923111.46,2.369430934251973e-10
Hindustan Unilever Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,61516.99999998505,0.012094217858481084
Hindustan Zinc Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,340833904742.8792,1.6899727168707793e-09
Hitachi Energy India Limited,Power Generation,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,63849728112.3227,2.0360305962667145e-08
Home First Finance Company India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,12900000000.0,5.395348837209302e-08
Honasa Consumer Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,18659908536.58536,2.8939048599367704e-08
ICICI Bank Limited,Financial Services,Pune,Maharashtra,0.42,0.01,0.0042,Tier 2,75%,1917286152931.8542,2.1905963246944075e-12
ICICI Lombard General Insurance Company Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,282656866197.1831,2.1651694092336858e-09
ICICI Prudential Life Insurance Company Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,709817905918.0576,9.298159351818203e-10
IDBI Bank Limited,Financial Services,Delhi,Delhi,0.62,0.01,0.0062,Tier 2,75%,33828.32999984252,0.00018327833505315993
IDFC FIRST Bank Limited,Financial Services,Bangalore,Karnataka,0.48,0.01,0.0048,Tier 2,75%,435239648012.65576,1.1028407044066967e-11
IFCI Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,6799711991.621574,9.176859266522999e-08
IIFL Finance Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,40660961357.21018,1.711715554105024e-08
INDIAN OVERSEAS BANK,Financial Services,Hyderabad,Telangana,0.45,0.01,0.0045,Tier 2,75%,336750416371.3678,1.3363012430658458e-11
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,275071428571.4286,1.8322513632822643e-09
INOX India Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,12963020079.684435,4.721122055184676e-08
INTELLECT DESIGN ARENA LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,16280999583.452333,4.053805152546102e-08
IRB Infrastructure Developers Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,80315314481.12886,9.263488598738073e-09
ISGEC Heavy Engineering Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,50000000000.0,1.152e-08
ITC Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,743256484149.856,8.395486797720134e-10
Indegene Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,10935000000.0,6.364883401920439e-08
Indian Energy Exchange Limited,Power Generation,Hyderabad,Telangana,0.45,2.5,1.125,Tier 2,75%,5353700999.989366,2.1013500754006148e-07
Indian Oil Corporation Limited,Oil & Gas,Pune,Maharashtra,0.42,2.0,0.84,Tier 2,75%,8452401055408.971,9.938004532599128e-11
Indian Renewable Energy Development Agency Limited,Power Generation,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,67552914798.20628,1.8874093054439963e-08
Indus Towers Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,301227774257.35614,2.1910330202025933e-09
IndusInd Bank Limited,Financial Services,Delhi,Delhi,0.62,0.01,0.0062,Tier 2,75%,267218794584.3645,2.320196081134023e-11
Infibeam Avenues Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,37256786500.366844,1.5460270573639743e-08
Infosys Limited,Information Technology,Chennai,Tamil Nadu,0.52,0.1,0.052,Tier 2,75%,1629808355691.836,3.1905591733162124e-11
Inox Wind Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,35617128463.47607,1.954115983026874e-08
InterGlobe Aviation Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,808029916604.5837,6.682920878339874e-10
Ion Exchange India Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,25400338447.65343,1.984225529272667e-08
Ipca Laboratories Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,6749209856.738395,9.067728119151321e-08
Ircon International Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,101931562151.75768,6.474932651550845e-09
JAI BALAJI INDUSTRIES LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,63508039780.02647,1.1715052182007215e-08
JAIPRAKASH POWER VENTURES LIMITED,Power Generation,Bangalore,Karnataka,0.48,2.5,1.2,Tier 2,75%,54622012735.99906,2.19691648090648e-08
JBM Auto Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,54723465754.29259,1.1402786563295337e-08
JINDAL STEEL  POWER LIMITED,Steel & Iron,Kolkata,West Bengal,0.58,1.8,1.044,Tier 2,75%,479019999999.99994,2.1794497098242246e-09
JK CEMENT LIMITED,Cement,Hyderabad,Telangana,0.45,1.0,0.45,Tier 2,75%,110929987345.77896,4.056612740766919e-09
JK LAKSHMI CEMENT LIMITED,Cement,Pune,Maharashtra,0.42,1.0,0.42,Tier 2,75%,62456975697.58873,6.7246291596570995e-09
JK Tyre  Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,10176.329999998563,0.06013955915345576
JM Financial Limited,Financial Services,Mumbai,Maharashtra,0.55,0.01,0.0055,Tier 2,75%,10372409028.09765,5.302529031685059e-10
JSW Energy Limited,Steel & Iron,Delhi,Delhi,0.62,1.8,1.116,Tier 2,75%,126394938352.25972,8.829467497264283e-09
JSW Infrastructure Limited,Steel & Iron,Bangalore,Karnataka,0.48,1.8,0.864,Tier 2,75%,44761530942.10773,1.930228885865082e-08
JSW Steel Limited,Steel & Iron,Chennai,Tamil Nadu,0.52,1.8,0.936,Tier 2,75%,1256780084662.5432,7.447603693141943e-10
JUBILANT INGREVIA LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,41776151901.81807,1.6660222838037665e-08
JYOTHY LABS LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,28439200119.53438,1.8987875809808153e-08
JYOTI CNC AUTOMATION LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,16150324437.915215,3.120680342599108e-08
Jindal Stainless Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,401819782181.84283,1.5230708569819502e-09
Jio Financial Services Limited,Financial Services,Mumbai,Maharashtra,0.55,0.01,0.0055,Tier 2,75%,8056084070.79646,6.827138286624466e-10
Jubilant FoodWorks Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,61046694982.06974,1.218739196640413e-08
Jubilant Pharmova Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,72609009009.00902,7.932899895776464e-09
Juniper Hotels Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,94427.25000069165,0.006608261915870994
Jupiter Life Line Hospitals Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,10599884261.529709,6.566109429383125e-08
Jupiter Wagons Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,38706395645.74654,1.3951182769438283e-08
Just Dial Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,11419220060.268675,4.413611414264502e-08
KARUR VYSYA BANK LIMITED,Financial Services,Ahmedabad,Gujarat,0.51,0.01,0.0051,Tier 2,75%,11507.589999990583,0.0004431857582694703
KEC International Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,197716146795.91144,3.338118867354177e-09
KEI INDUSTRIES LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,97359160305.3435,7.641807896315289e-09
KFin Technologies Limited,Information Technology,Bangalore,Karnataka,0.48,0.1,0.048,Tier 2,75%,10554681599.166557,4.547744955545631e-09
KIOCL Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,5896516665.241037,1.0582519060420431e-07
KNR Constructions Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,31762893847.92107,2.1912361113329548e-08
KOTAK MAHINDRA BANK LIMITED,Financial Services,Hyderabad,Telangana,0.45,0.01,0.0045,Tier 2,75%,678806737082.5007,6.629280109005576e-12
KPI GREEN ENERGY LIMITED,Power Generation,Pune,Maharashtra,0.42,2.5,1.05,Tier 2,75%,17354663249.099743,6.050247042704605e-08
KPIT Technologies Limited,Information Technology,Ahmedabad,Gujarat,0.51,0.1,0.051,Tier 2,75%,25640367334.847435,1.9890510667796348e-09
KPR MILL LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,44008549222.79793,1.499708605840834e-08
Kajaria Ceramics Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,46350009591.38626,1.6051776613618346e-08
Kalpataru Projects International Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,188878912819.4,3.0495728263257893e-09
Kalyan Jewellers India Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,216396437437.93448,2.8835964555977123e-09
Kansai Nerolac Paints Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,,
Kaynes Technology India Limited,Information Technology,Hyderabad,Telangana,0.45,0.1,0.045,Tier 2,75%,19154021851.7472,2.349376039575478e-09
Keystone Realtors Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,5506364637.015513,9.153044399056932e-08
Kirloskar Brothers Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,29013841331.082714,2.1093380673601483e-08
Kirloskar Oil Engines Limited,Oil & Gas,Mumbai,Maharashtra,0.55,2.0,1.1,Tier 2,75%,83484.908,0.013176034164162943
Krishna Institute of Medical Sciences Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,13840737171.765839,5.375436226891942e-08
LAURUS LABS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,51269820824.190956,1.1234679402823703e-08
LIC Housing Finance Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,280439055793.9914,2.2250823738986846e-09
Latent View Analytics Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,3471471121.471122,2.0049136969488966e-07
Lemon Tree Hotels Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,12860804048.699978,4.1988043512301656e-08
Life Insurance Corporation of India,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,4887995296884.186,1.031097555108678e-10
Linde India Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,24854486962.411106,2.4623320566848286e-08
Lloyds Metals and Energy Limited,Power Generation,Mumbai,Maharashtra,0.55,2.5,1.375,Tier 2,75%,67727220762.32858,2.0302028999908502e-08
Lupin Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,164585584899.91626,4.520444487604567e-09
MACROTECH DEVELOPERS LIMITED,Information Technology,Bangalore,Karnataka,0.48,0.1,0.048,Tier 2,75%,137799989600.66556,3.483309406560954e-10
MAHARASHTRA SCOOTERS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,29900025.706669297,2.0869547274697317e-05
MANKIND PHARMA LIMITED,Pharmaceuticals,Kolkata,West Bengal,0.58,0.5,0.29,Tier 2,75%,9497.800000001122,0.030533386679016793
MAX HEALTHCARE INSTITUTE LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,7027999897.351673,7.683551620475771e-08
MMTC LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,,
MOIL Limited,Oil & Gas,Ahmedabad,Gujarat,0.51,2.0,1.02,Tier 2,75%,15849409434.73797,6.435571017330231e-08
MRF Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,27665.21999999961,0.02385666913185615
MUTHOOT FINANCE LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,170990887558.09796,4.351109059815889e-09
Mahanagar Gas Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,75899723706.39742,7.5889604319001e-09
Maharashtra Seamless Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,54631403189.007996,1.1422002064291672e-08
Mahindra  Mahindra Financial Services Limited,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,160739576868.82935,3.608321057565716e-11
Mahindra  Mahindra Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,1164826832820.8447,4.635882216863855e-10
Mahindra Holidays  Resorts India Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,15449122023.55393,3.26232131011455e-08
Mahindra Lifespace Developers Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,32983239014.647137,1.8554878728805988e-08
Man Infraconstruction Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,3947270660.9368896,1.6720414096036378e-07
Manappuram Finance Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,69063079096.04521,1.077276034804831e-08
Marico Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,7581.000000011008,0.07597942223969972
Maruti Suzuki India Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,1518998964123.2947,4.1079685683666534e-10
Mastek Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,345523000760.1562,2.014337680758701e-09
Max Financial Services Limited,Financial Services,Hyderabad,Telangana,0.45,0.01,0.0045,Tier 2,75%,3261372.9999916567,1.3797869792910873e-06
Mazagon Dock Shipbuilders Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,114318771309.27782,4.4087247809590186e-09
MedPlus Health Services Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,67299.00999924737,0.009093744469745457
Metro Brands Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,24495883357.906807,2.6943302691183192e-08
Metropolis Healthcare Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,121654.30000546707,0.006115690115076616
Mishra Dhatu Nigam Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,10741014802.745632,5.3626217874009636e-08
Motherson Sumi Wiring India Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,93193.9999987217,0.00669571002434233
Motilal Oswal Financial Services Limited,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,9276.460410557183,0.0006252384792586667
Mphasis Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,92710.47000022694,0.005824584860789491
NATCO Pharma Limited,Pharmaceuticals,Pune,Maharashtra,0.42,0.5,0.21,Tier 2,75%,40945055199.77219,5.12882444474439e-09
NAVA LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,16120306810.471891,3.7964537970359195e-08
NBCC India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,87253696757.52272,7.564149423194462e-09
NCC LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,19392.309999992875,0.038365723320237424
NETWEB TECHNOLOGIES INDIA LIMITED,Information Technology,Bangalore,Karnataka,0.48,0.1,0.048,Tier 2,75%,11490580919.156681,4.17733449141602e-09
NHPC Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,89942812458.78163,6.937741693211589e-09
NLC India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,152825914634.14636,4.554201436753518e-09
NMDC Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,236679301870.28784,2.281568332054432e-09
NMDC Steel Limited,Steel & Iron,Pune,Maharashtra,0.42,1.8,0.756,Tier 2,75%,8503.049999999996,0.0889092737311906
NTPC LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,1700341356075.9553,3.599277273431568e-10
NUVAMA WEALTH MANAGEMENT LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,41693087996.98102,1.5829962032262768e-08
Narayana Hrudayalaya Ltd,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,37323085131.610146,1.9934043431202903e-08
Navin Fluorine International Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,23493791302.07997,2.4517115717674953e-08
Nestle India Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,200774777975.13324,3.107960104815979e-09
Neuland Laboratories Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,14759999691.991392,4.7154472528725164e-08
Newgen Software Technologies Limited,Information Technology,Hyderabad,Telangana,0.45,0.1,0.045,Tier 2,75%,13544181908.05734,3.3224598063933125e-09
Nippon Life India Asset Management Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,23483175709.308113,2.1462173866042642e-08
Nuvoco Vistas Corporation Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,102441064761.17606,5.974166721390236e-09
Oberoi Realty Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,52863393864.40555,1.2485009980496109e-08
Oil India Limited,Oil & Gas,Delhi,Delhi,0.62,2.0,1.24,Tier 2,75%,221169909470.86578,5.606549294913657e-09
Olectra Greentech Limited,Information Technology,Bangalore,Karnataka,0.48,0.1,0.048,Tier 2,75%,17630249794.12572,2.722593301882386e-09
One 97 Communications Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,55043238993.71069,1.1336542169535099e-08
Oracle Financial Services Software Limited,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,50989944936.55734,1.137479165199427e-10
PATANJALI FOODS LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,341569798024.1968,1.5809360286641809e-09
PB FINTECH LIMITED,Information Technology,Pune,Maharashtra,0.42,0.1,0.042,Tier 2,75%,4977.210000005246,0.008438462512121396
PI INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,75712074414.22829,8.083254946254504e-09
PNB Housing Finance Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,7661.219999979001,0.08614815917070767
PNC Infratech Limited,Information Technology,Delhi,Delhi,0.62,0.1,0.062,Tier 2,75%,55131212311.430595,1.1245898176475481e-09
POLY MEDICURE LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,16018041310.541311,3.5959452771603244e-08
PTC Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,2411857265.0773807,2.5872177804020253e-07
PUNJAB NATIONAL BANK,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,1380712803612.84,4.200728771996202e-12
PVR INOX LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,54424549934.1367,9.92199293615648e-09
Page Industries Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,493500363141.17114,1.0212758442405144e-09
Persistent Systems Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,119387.16998881244,0.005126178969292508
Petronet LNG Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,509796680869.683,1.2946337721816452e-09
Pfizer Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,22813618003.462204,3.2612100364225014e-08
Pidilite Industries Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,120726667641.89584,4.7711082501552485e-09
Piramal Enterprises Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,10269.560000037667,0.06076209691532171
Piramal Pharma Limited,Pharmaceuticals,Kolkata,West Bengal,0.58,0.5,0.29,Tier 2,75%,52857074238.44545,5.486493609006252e-09
Polycab India Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,21913.00000001536,0.024642906037494708
Poonawalla Fincorp Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,4222.839999998249,0.11935095812301887
Power Finance Corporation Limited,Power Generation,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,530871171171.17114,2.401712636207356e-09
Power Grid Corporation of India Limited,Power Generation,Mumbai,Maharashtra,0.55,2.5,1.375,Tier 2,75%,45792.32000004322,0.03002686913435926
Power Mech Projects Limited,Power Generation,Delhi,Delhi,0.62,2.5,1.55,Tier 2,75%,44354231237.793205,3.4945933155511016e-08
Praj Industries Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,32279484638.2557,1.7844151059256982e-08
Prestige Estates Projects Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,73494142492.99542,8.490472557856869e-09
Prism Johnson Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,67256894692.583916,1.0348381428867015e-08
Procter  Gamble Health Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,9341706924.31562,5.7805281665862236e-08
Punjab  Sind Bank,Financial Services,Pune,Maharashtra,0.42,0.01,0.0042,Tier 2,75%,130487145182.98294,3.218707861307191e-11
Quess Corp Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,137919891008.17438,4.437358495039177e-09
R R Kabel Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,7601.579999997614,0.08682405499911955
RAJESH EXPORTS LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,,
RATTANINDIA ENTERPRISES LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,68663456.40413548,8.388741699948978e-06
RBL Bank Limited,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,102698105081.826,5.063384563772462e-11
REC Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,563171521035.5988,1.235857947362372e-09
RELIANCE POWER LIMITED,Oil & Gas,Hyderabad,Telangana,0.45,2.0,0.9,Tier 2,75%,75828899967.97752,1.1868825742956435e-08
RHI Magnesita India Ltd,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,28918554153.71944,1.7428257212339803e-08
RITES Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,2095.309999998036,0.29208088540625193
Radico Khaitan Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,170985131541.13013,3.859984748681135e-09
Rail Vikas Nigam Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,198554026845.63757,3.747090964709621e-09
Railtel Corporation of India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,34774912989.78332,1.6563664736392747e-08
Ramkrishna Forgings Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,36342959991.206856,1.7169762731240828e-08
RateGain Travel Technologies Limited,Information Technology,Kolkata,West Bengal,0.58,0.1,0.058,Tier 2,75%,2104067285.9653525,2.75656583736054e-08
