Variant_Name,Master_DB_Name,Source,Match_Confidence,Notes
IndiaMART InterMESH,IndiaMART InterMESH Limited,C3.1_Renewable,HIGH,Core name match
Indian Bank,Indian Bank,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Indian Energy Exchange,Indian Energy Exchange Limited,C3.1_Renewable,HIGH,Core name match
Indian Hotels (IHCL),Indian Hotels Company Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Indian Oil Corporation Limited,Indian Oil Corporation Limited,Facility_Geocoding,HIGH,Exact match
Indian Oil Corporation (IOCL),Indian Oil Corporation Limited,C3.1_Renewable,HIGH,Includes abbreviation
Indian Overseas Bank,INDIAN OVERSEAS BANK,C3.1_Renewable,HIGH,Corrected to CAPS per V2
INFOSYS LIMITED,Infosys Limited,C3.1_Renewable,HIGH,Corrected case to V2 Title Case
Infosys Limited,Infosys Limited,Facility_Geocoding,HIGH,Exact match
JAI BALAJI INDUSTRIES,JAI BALAJI INDUSTRIES LIMITED,G2.1_Land_BRSR,HIGH,Suffix missing
JAIPRAKASH POWER VENTURES,JAIPRAKASH POWER VENTURES LIMITED,G2.1_Land_BRSR,HIGH,Suffix missing
JINDAL STEEL & POWER,JINDAL STEEL  POWER LIMITED,G2.1_Land_BRSR,HIGH,Fixed double space/ampersand per V2
JK CEMENT LIMITED,JK CEMENT LIMITED,G2.1_Land_BRSR,HIGH,Exact match
JK LAKSHMI CEMENT LIMITED,JK LAKSHMI CEMENT LIMITED,G2.1_Land_BRSR,HIGH,Exact match
JSW Steel Limited,JSW Steel Limited,C2.1_Scope3_Manual,HIGH,Exact match
JK Paper,JK Paper,G2.2_Land_AR,HIGH,Exact V2 match (Short form)
JK Tyre & Industries,JK Tyre & Industries Limited,G2.2_Land_AR,HIGH,Exact characters per V2
JSW Energy,JSW Energy Limited,G2.2_Land_AR,HIGH,Exact V2 match
JUBILANT INGREVIA,JUBILANT INGREVIA LIMITED,G2.1_Land_BRSR,HIGH,Core name match
JYOTI CNC AUTOMATION,JYOTI CNC AUTOMATION LIMITED,G2.1_Land_BRSR,HIGH,Exact match
Jindal Saw Limited,Jindal Saw Limited,G2.2_Land_AR,HIGH,Exact match
Jindal Stainless Limited,Jindal Stainless Limited,C3.1_Renewable,HIGH,Exact match
Jio Financial Services,Jio Financial Services Limited,C3.1_Renewable,HIGH,Core name match
Jubilant FoodWorks,Jubilant FoodWorks Limited,C3.1_Renewable,HIGH,Core name match
Jubilant Pharmova Limited,Jubilant Pharmova Limited,C3.1_Renewable,HIGH,Exact match
K.P.R. MILL LIMITED,K.P.R. MILL LIMITED,G2.2_Land_AR,HIGH,Added punctuation per V2
KARUR VYSYA BANK,KARUR VYSYA BANK LIMITED,G2.1_Land_BRSR,HIGH,Core name match
KEC International,KEC International Limited,C3.1_Renewable,HIGH,Core name match
KEI INDUSTRIES,KEI INDUSTRIES LIMITED,G2.1_Land_BRSR,HIGH,Core name match
KFin Technologies,KFin Technologies Limited,C3.1_Renewable,HIGH,Core name match
KIOCL Limited,KIOCL Limited,G2.2_Land_AR,HIGH,Exact match
KOTAK MAHINDRA BANK,KOTAK MAHINDRA BANK LIMITED,G2.1_Land_BRSR,HIGH,Case correction per V2
KPI GREEN ENERGY,KPI GREEN ENERGY LIMITED,G2.1_Land_BRSR,HIGH,Core name match
KPIT Technologies,KPIT Technologies Limited,C3.1_Renewable,HIGH,Core name match
Kajaria Ceramics,Kajaria Ceramics Limited,C3.1_Renewable,HIGH,Core name match
Kalpataru Projects,Kalpataru Projects International Limited,C3.1_Renewable,HIGH,Core name match
Kalyan Jewellers,Kalyan Jewellers India Limited,C3.1_Renewable,HIGH,Core name match
Kalyani Steels,Kalyani Steels,G2.2_Land_AR,HIGH,"V2 Name (no ""Limited"")"
Kansai Nerolac,Kansai Nerolac,C3.1_Renewable,HIGH,V2 Name (Short form)
Karur Vysya Bank,KARUR VYSYA BANK LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
Kaynes Technology India,Kaynes Technology India Limited,C3.1_Renewable,HIGH,Core name match
Keystone Realtors,Keystone Realtors Limited,C3.1_Renewable,HIGH,Core name match
Kirloskar Brothers Limited,Kirloskar Brothers Limited,C3.1_Renewable,HIGH,Exact match
Kirloskar Oil Engines,Kirloskar Oil Engines Limited,C3.1_Renewable,HIGH,Core name match
Kotak Mahindra Bank,KOTAK MAHINDRA BANK LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
Krishna Institute Medical,Krishna Institute of Medical Sciences Limited,C3.1_Renewable,HIGH,Core name match
L&T Finance Limited,L&T Finance Limited,C3.1_Renewable,HIGH,Exact match
LAURUS LABS,LAURUS LABS LIMITED,G2.1_Land_BRSR,HIGH,Case correction to V2 CAPS
LIC Housing Finance,LIC Housing Finance Limited,C3.1_Renewable,HIGH,Core name match
LTIMindtree Limited,LTIMindtree Limited,C3.1_Renewable,HIGH,Exact match
Larsen & Toubro Limited,Larsen & Toubro Limited,C2.1_Scope3_Manual,HIGH,Case correction to V2 Title
Larsen & Toubro,Larsen & Toubro Limited,C3.1_Renewable,HIGH,Core name match
Latent View Analytics,Latent View Analytics Limited,C3.1_Renewable,HIGH,Core name match
Laurus Labs Limited,LAURUS LABS LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
Lemon Tree Hotels,Lemon Tree Hotels Limited,C3.1_Renewable,HIGH,Core name match
Life Insurance Corporation of India,Life Insurance Corporation of India,Facility_Geocoding,HIGH,Exact match
Linde India Limited,Linde India Limited,C3.1_Renewable,HIGH,Exact match
Lloyds Metals and Energy Limited,Lloyds Metals and Energy Limited,C3.1_Renewable,HIGH,Exact match
Lupin Limited,Lupin Limited,C3.1_Renewable,HIGH,Exact match
MACROTECH DEVELOPERS,MACROTECH DEVELOPERS LIMITED,G2.1_Land_BRSR,HIGH,Core name match
MAHARASHTRA SCOOTERS,MAHARASHTRA SCOOTERS LIMITED,G2.1_Land_BRSR,HIGH,Core name match
MANKIND PHARMA,MANKIND PHARMA LIMITED,G2.1_Land_BRSR,HIGH,Core name match
MAX HEALTHCARE INSTITUTE,MAX HEALTHCARE INSTITUTE LIMITED,G2.1_Land_BRSR,HIGH,Core name match
MUTHOOT FINANCE,MUTHOOT FINANCE LIMITED,G2.1_Land_BRSR,HIGH,Core name match
Macrotech Developers (Lodha),MACROTECH DEVELOPERS LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
Mahanagar Gas Limited,Mahanagar Gas Limited,C3.1_Renewable,HIGH,Exact match
Maharashtra Seamless,Maharashtra Seamless Limited,C3.1_Renewable,HIGH,Core name match
Mahindra & Mahindra Limited,Mahindra  Mahindra Limited,C2.1_Scope3_Manual,HIGH,Corrected to V2 double space
Mahindra Mahindra Limited,Mahindra  Mahindra Limited,Facility_Geocoding,HIGH,Corrected to V2 double space
Mahindra Finance,Mahindra  Mahindra Financial Services Limited,C3.1_Renewable,HIGH,Corrected to V2 double space
Mahindra Holidays,Mahindra Holidays  Resorts India Limited,G2.2_Land_AR,HIGH,Corrected to V2 double space
Mahindra Lifespace,Mahindra Lifespace Developers Limited,C3.1_Renewable,HIGH,Core name match
Mahindra Logistics,Mahindra Logistics,C3.1_Renewable,HIGH,Exact match (V2 Short form)
Manappuram Finance Ltd,Manappuram Finance Limited,C3.1_Renewable,HIGH,Standard abbreviation
Mangalam Cement,Mangalam Cement,G2.2_Land_AR,HIGH,Exact V2 match (Short form)
Marico Limited,Marico Limited,C3.1_Renewable,HIGH,Exact match
Maruti Suzuki India Limited,Maruti Suzuki India Limited,Facility_Geocoding,HIGH,Exact match
Mastek Limited,Mastek Limited,C3.1_Renewable,HIGH,Exact match
Max Financial Services,Max Financial Services Limited,C3.1_Renewable,HIGH,Core name match
Max Healthcare Institute,MAX HEALTHCARE INSTITUTE LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
Mazagon Dock,Mazagon Dock Shipbuilders Limited,C3.1_Renewable,HIGH,Core name match
MedPlus Health Services,MedPlus Health Services Limited,C3.1_Renewable,HIGH,Exact match
Metro Brands Limited,Metro Brands Limited,C3.1_Renewable,HIGH,Exact match
Metropolis Healthcare,Metropolis Healthcare Limited,C3.1_Renewable,HIGH,Core name match
Minda Corporation,Minda Corporation Limited,G2.2_Land_AR,HIGH,Core name match
Mishra Dhatu Nigam (MIDHANI),Mishra Dhatu Nigam Limited,C3.1_Renewable,HIGH,Includes brand name
Mother Dairy,Mother Dairy,G2.2_Land_AR,HIGH,Exact V2 match (Short form)
Motherson Sumi Wiring,Motherson Sumi Wiring India Limited,C3.1_Renewable,HIGH,Core name match
Motilal Oswal Financial,Motilal Oswal Financial Services Limited,C3.1_Renewable,HIGH,Core name match
Mphasis Limited,Mphasis Limited,C3.1_Renewable,HIGH,Exact match
Mrs. Bectors Food,Mrs. Bectors Food Specialities,G2.2_Land_AR,HIGH,"V2 Name (no ""Limited"")"
Muthoot Finance Limited,MUTHOOT FINANCE LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
NAVA,NAVA LIMITED,G2.1_Land_BRSR,HIGH,Core name match
NCC,NCC LIMITED,G2.1_Land_BRSR,HIGH,Core name match
NHPC Limited,NHPC Limited,C3.1_Renewable,HIGH,Exact match
NLC India Limited,NLC India Limited,C3.1_Renewable,HIGH,Exact match
NMDC Limited,NMDC Limited,C3.1_Renewable,HIGH,Exact match
NTPC LIMITED,NTPC LIMITED,C2.1_Scope3_Manual,HIGH,Exact match
NTPC Limited,NTPC LIMITED,C2.2_Missing_Env,HIGH,Case correction to V2 CAPS
NUVAMA WEALTH MANAGEMENT,NUVAMA WEALTH MANAGEMENT LIMITED,G2.1_Land_BRSR,HIGH,Core name match
Narayana Hrudayalaya,Narayana Hrudayalaya Ltd,G2.2_Land_AR,HIGH,Exact V2 match
Natco Pharma Limited,NATCO Pharma Limited,C3.1_Renewable,HIGH,Adjusted to V2 case (NATCO)
Navin Fluorine International,Navin Fluorine International Limited,C3.1_Renewable,HIGH,Core name match
Nestle India,Nestle India,G2.2_Land_AR,HIGH,Exact V2 match (Short form)
New India Assurance,THE NEW INDIA ASSURANCE COMPANY LIMITED,C3.1_Renewable,HIGH,"Corrected to V2 ""THE... LIMITED"""
Nippon Life India Asset,Nippon Life India Asset Management Limited,C3.1_Renewable,HIGH,Core name match
Oberoi Realty Limited,Oberoi Realty Limited,C3.1_Renewable,HIGH,Exact match
ONGC,ONGC,C3.1_Renewable,HIGH,Exact V2 match (Abbreviation)
Oil India Limited,Oil India Limited,C3.1_Renewable,HIGH,Exact match
PB Fintech (Policybazaar),PB FINTECH LIMITED,C3.1_Renewable,HIGH,Includes brand name
PI Industries,PI INDUSTRIES LIMITED,C3.1_Renewable,HIGH,Exact match per V2
PNB Housing Finance,PNB Housing Finance Limited,C3.1_Renewable,HIGH,Exact match per V2
PNB Housing Finance Limited,PNB Housing Finance Limited,C2.1_Scope3_Remaining,HIGH,Exact match
PNC Infratech Limited,PNC Infratech Limited,C3.1_Renewable,HIGH,Exact match per V2
POLY MEDICURE LIMITED,POLY MEDICURE LIMITED,G2.1_Land_BRSR,HIGH,Exact match per V2
PSP Projects Limited,PSP Projects Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
PTC India Limited,PTC India Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
PTC Industries Limited,PTC Industries Limited,G2.1_Land_BRSR,HIGH,Exact match per V2
PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK,G2.1_Land_BRSR,HIGH,Exact match per V2
Punjab National Bank,PUNJAB NATIONAL BANK,C2.1_Scope3_Manual,HIGH,Case correction to V2 CAPS
PVR INOX LIMITED,PVR INOX LIMITED,G2.1_Land_BRSR,HIGH,Exact match per V2
PVR INOX Limited,PVR INOX LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
Page Industries,Page Industries Limited,C3.1_Renewable,HIGH,Core name match
Page Industries (Jockey),Page Industries Limited,C3.1_Renewable,HIGH,Includes brand name
Page Industries Limited,Page Industries Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
Patanjali Foods,PATANJALI FOODS LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
PATANJALI FOODS LIMITED,PATANJALI FOODS LIMITED,G2.1_Land_BRSR,HIGH,Exact match per V2
Patel Engineering,Patel Engineering Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Persistent Systems,Persistent Systems Limited,C3.1_Renewable,HIGH,Core name match
Persistent Systems Limited,Persistent Systems Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
Petronet LNG Limited,Petronet LNG Limited,C3.1_Renewable,HIGH,Exact match per V2
Pfizer Limited,Pfizer Limited,C3.1_Renewable,HIGH,Exact match per V2
Phoenix Mills Limited,THE PHOENIX MILLS LIMITED,C3.1_Renewable,HIGH,Mapping to exact V2 name
Pidilite Industries,Pidilite Industries Limited,C3.1_Renewable,HIGH,Core name match
Pidilite Industries Limited,Pidilite Industries Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
Piramal Enterprises,Piramal Enterprises Limited,C3.1_Renewable,HIGH,Core name match
Piramal Enterprises Limited,Piramal Enterprises Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
Piramal Pharma Limited,Piramal Pharma Limited,C3.1_Renewable,HIGH,Exact match per V2
Polycab India Limited,Polycab India Limited,C3.1_Renewable,HIGH,Exact match per V2
Polyplex Corporation,Polyplex Corporation Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Poonawalla Fincorp,Poonawalla Fincorp Limited,C3.1_Renewable,HIGH,Core name match
Poonawalla Fincorp Limited,Poonawalla Fincorp Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
PFC (Power Finance Corp),Power Finance Corporation Limited,C3.1_Renewable,HIGH,Core name match
Power Finance Corporation Limited,Power Finance Corporation Limited,C2.1_Scope3_Manual,HIGH,Exact match
Power Grid Corp of India,Power Grid Corporation of India Limited,C3.1_Renewable,HIGH,Core name match
Power Grid Corporation,Power Grid Corporation of India Limited,C3.1_Renewable,HIGH,Core name match
Power Grid Corporation of India,Power Grid Corporation of India Limited,C2.2_Missing_Env,HIGH,Core name match
Power Grid Corporation of India Limited,Power Grid Corporation of India Limited,C3.1_Renewable,HIGH,Exact match per V2
Power Mech Projects,Power Mech Projects Limited,C3.1_Renewable,HIGH,Core name match
Power Mech Projects Limited,Power Mech Projects Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
Praj Industries Limited,Praj Industries Limited,G2.1_Land_BRSR,HIGH,Exact match per V2
Prestige Estates Projects,Prestige Estates Projects Limited,C3.1_Renewable,HIGH,Core name match
Prestige Estates Projects Limited,Prestige Estates Projects Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
Prince Pipes and Fittings,Prince Pipes and Fittings Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Prism Johnson (Cement),Prism Johnson Limited,C3.1_Renewable,HIGH,Core name match
Prism Johnson Limited,Prism Johnson Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
Procter & Gamble Health,Procter  Gamble Health Limited,C3.1_Renewable,HIGH,Fixed V2 double space/ampersand
Procter & Gamble Health Limited,Procter  Gamble Health Limited,C3.1_Renewable,HIGH,Fixed V2 double space/ampersand
Punjab & Sind Bank,Punjab  Sind Bank,C3.1_Renewable,HIGH,Fixed V2 double space/ampersand
Puravankara Limited,Puravankara Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Quess Corp Limited,Quess Corp Limited,C3.1_Renewable,HIGH,Exact match per V2
R R Kabel Limited,R R Kabel Limited,G2.1_Land_BRSR,HIGH,Exact match per V2
RATTANINDIA ENTERPRISES,RATTANINDIA ENTERPRISES LIMITED,G2.1_Land_BRSR,HIGH,Core name match
RATTANINDIA ENTERPRISES LIMITED,RATTANINDIA ENTERPRISES LIMITED,G2.1_Land_BRSR,HIGH,Exact match per V2
RBL Bank Limited,RBL Bank Limited,C3.1_Renewable,HIGH,Exact match per V2
REC Limited,REC Limited,C3.1_Renewable,HIGH,Exact match per V2
RELIANCE POWER LIMITED,RELIANCE POWER LIMITED,G2.1_Land_BRSR,HIGH,Exact match per V2
RHI Magnesita India Ltd,RHI Magnesita India Ltd,G2.1_Land_BRSR,HIGH,Exact match per V2
RINL - Vizag Steel,Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,G2.2_Land_AR,HIGH,Exact V2 name mapping
RITES Limited,RITES Limited,C3.1_Renewable,HIGH,Exact match per V2
Radico Khaitan Limited,Radico Khaitan Limited,C3.1_Renewable,HIGH,Exact match per V2
Rail Vikas Nigam (RVNL),Rail Vikas Nigam Limited,C3.1_Renewable,HIGH,Includes abbreviation
Rail Vikas Nigam Limited,Rail Vikas Nigam Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
Railtel Corporation,Railtel Corporation of India Limited,C3.1_Renewable,HIGH,Core name match
Railtel Corporation of India Limited,Railtel Corporation of India Limited,C2.1_Scope3_Remaining,HIGH,Exact match per V2
Rainbow Children's Medicare,Rainbow Children's Medicare Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Rajesh Exports,Rajesh Exports Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Ramkrishna Forgings,Ramkrishna Forgings Limited,C3.1_Renewable,HIGH,Core name match
Ramkrishna Forgings Limited,Ramkrishna Forgings Limited,G2.1_Land_BRSR,HIGH,Exact match per V2
Rashtriya Chemicals,Rashtriya Chemicals and Fertilizers Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Rashtriya Ispat Nigam Limited (RINL),Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,G2.2_Land_AR,HIGH,Adjusted to full V2 name
RateGain Travel Tech,RateGain Travel Technologies Limited,C3.1_Renewable,HIGH,Core name match
RateGain Travel Technologies Limited,RateGain Travel Technologies Limited,G2.1_Land_BRSR,HIGH,Exact match per V2
Ratnamani Metals & Tubes,Ratnamani Metals  Tubes Limited,C3.1_Renewable,HIGH,Fixed V2 double space/ampersand
Ratnamani Metals & Tubes Limited,Ratnamani Metals  Tubes Limited,G2.1_Land_BRSR,HIGH,Fixed V2 double space/ampersand
Raymond Limited,Raymond Limited,C3.1_Renewable,HIGH,Exact match per V2
Redington Limited,Redington Limited,C3.1_Renewable,HIGH,Exact match
Redtape Limited,Redtape Limited,C3.1_Renewable,HIGH,Exact match per V2
Relaxo Footwears,Relaxo Footwears Limited,C3.1_Renewable,HIGH,Core name match
Relaxo Footwears Limited,Relaxo Footwears Limited,G2.1_Land_BRSR,HIGH,Exact match per V2
Reliance Industries Limited,Reliance Industries Limited,C2.1_Scope3_Manual,HIGH,Corrected case to V2 Title Case
Reliance Industries,Reliance Industries Limited,G2.3B_MSA_Proxy,HIGH,Corrected case to V2 Title Case
Reliance Infrastructure,Reliance Infrastructure Limited,C3.1_Renewable,HIGH,Corrected case to V2 Title Case
Reliance Infrastructure Limited,Reliance Infrastructure Limited,G2.1_Land_BRSR,HIGH,Corrected case to V2 Title Case
Repco Home Finance,Repco Home Finance Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Responsive Industries,Responsive Industries Limited,C3.1_Renewable,HIGH,Core name match
Responsive Industries Limited,Responsive Industries Limited,G2.1_Land_BRSR,HIGH,Exact match per V2
Route Mobile Limited,Route Mobile Limited,C3.1_Renewable,HIGH,Exact match per V2
Rupa & Company,Rupa & Company Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
SAMVARDHANA MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,G2.1_Land_BRSR,HIGH,Case correction to V2 CAPS
Samvardhana Motherson,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,Facility_Geocoding,HIGH,Exact match per V2
SAPPHIRE FOODS,SAPPHIRE FOODS INDIA LIMITED,G2.1_Land_BRSR,HIGH,Core name match
SAPPHIRE FOODS INDIA LIMITED,SAPPHIRE FOODS INDIA LIMITED,G2.1_Land_BRSR,HIGH,Exact match per V2
SARDA ENERGY & MINERALS,SARDA ENERGY & MINERALS LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
SARDA ENERGY & MINERALS LIMITED,SARDA ENERGY & MINERALS LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
SAREGAMA India Limited,SAREGAMA India Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
SBFC Finance Limited,SBFC Finance Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
SBI Cards & Payment,SBI Cards and Payment Services Limited,C3.1_Renewable,HIGH,Core name match
SBI Cards and Payment Services,SBI Cards and Payment Services Limited,G2.1_Land_BRSR,HIGH,Core name match
SBI Cards and Payment Services Limited,SBI Cards and Payment Services Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
SBI Life Insurance,SBI Life Insurance Company Limited,C3.1_Renewable,HIGH,Core name match
SBI Life Insurance Company Limited,SBI Life Insurance Company Limited,Facility_Geocoding,HIGH,Exact V2 match
SHIPPING CORPORATION,SHIPPING CORPORATION OF INDIA LIMITED,G2.1_Land_BRSR,HIGH,Corrected to ALL CAPS per V2
SHIPPING CORPORATION OF INDIA LIMITED,SHIPPING CORPORATION OF INDIA LIMITED,G2.1_Land_BRSR,HIGH,Corrected to ALL CAPS per V2
SJVN Limited,SJVN Limited,C3.1_Renewable,HIGH,Exact V2 match
SKF INDIA LIMITED,SKF INDIA LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
SKF India Limited,SKF INDIA LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
SML Isuzu Limited,SML Isuzu Limited,C3.1_Renewable,HIGH,Exact V2 match
SRF LIMITED,SRF LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
SRF Limited,SRF LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
SBI,STATE BANK OF INDIA,C3.1_Renewable,HIGH,Exact V2 match
State Bank of India,STATE BANK OF INDIA,G2.1_Land_BRSR,HIGH,Case correction to V2 CAPS
STATE BANK OF INDIA,STATE BANK OF INDIA,Facility_Geocoding,HIGH,Exact V2 match
State Bank of India (SBI),STATE BANK OF INDIA,C3.1_Renewable,HIGH,Mapping to exact V2 CAPS
SUMITOMO CHEMICAL,SUMITOMO CHEMICAL INDIA LIMITED,G2.1_Land_BRSR,HIGH,Core name match
SUMITOMO CHEMICAL INDIA LIMITED,SUMITOMO CHEMICAL INDIA LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
SUNDARAM FINANCE LIMITED,SUNDARAM FINANCE LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
SUPREME PETROCHEM LIMITED,SUPREME PETROCHEM LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
SUZLON ENERGY LIMITED,SUZLON ENERGY LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
Safari Industries India,Safari Industries India Limited,C3.1_Renewable,HIGH,Core name match
Safari Industries India Limited,Safari Industries India Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Sagar Cements,Sagar Cements,G2.2_Land_AR,HIGH,Exact V2 match (Short form)
Samvardhana Motherson International,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
Sandur Manganese & Iron,Sandur Manganese  Iron Ores Limited,C3.1_Renewable,HIGH,Fixed V2 double space
Sandur Manganese & Iron Ores Limited,Sandur Manganese  Iron Ores Limited,G2.1_Land_BRSR,HIGH,Fixed V2 double space
Sanghi Industries,Sanghi Industries,G2.2_Land_AR,HIGH,Exact V2 match (Short form)
Sanghi Industries Limited,Sanghi Industries,G2.1_Land_BRSR,HIGH,Exact V2 match (Short form)
Sanofi India Limited,Sanofi India Limited,G2.2_Land_AR,HIGH,Exact V2 match
Satia Industries Limited,Satia Industries Limited,C3.1_Renewable,HIGH,Exact V2 match
Schaeffler India Limited,Schaeffler India Limited,G2.2_Land_AR,HIGH,Exact V2 match
Schneider Electric Infra,Schneider Electric Infrastructure Limited,C3.1_Renewable,HIGH,Core name match
Schneider Electric Infrastructure Limited,Schneider Electric Infrastructure Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Seshasayee Paper,Seshasayee Paper and Boards Limited,G2.2_Land_AR,HIGH,Core name match
Seshasayee Paper and Boards,Seshasayee Paper and Boards Limited,C3.1_Renewable,HIGH,Core name match
Seshasayee Paper and Boards Limited,Seshasayee Paper and Boards Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Shalimar Paints Limited,Shalimar Paints Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Shanthi Gears Limited,Shanthi Gears Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Sheela Foam Limited,Sheela Foam Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Shipping Corp of India,SHIPPING CORPORATION OF INDIA LIMITED,C3.1_Renewable,HIGH,Case correction to V2 CAPS
Shivalik Small Finance Bank,Shivalik Small Finance Bank Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Shoppers Stop,Shoppers Stop Limited,C3.1_Renewable,HIGH,Core name match
Shoppers Stop Limited,Shoppers Stop Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Shree Cement,Shree Cement,C3.1_Renewable,HIGH,Exact V2 match (Short form)
Shree Renuka Sugars Limited,Shree Renuka Sugars Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Shriram Finance Limited,Shriram Finance Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Shyam Metalics and Energy,Shyam Metalics and Energy Limited,C3.1_Renewable,HIGH,Core name match
Shyam Metalics and Energy Limited,Shyam Metalics and Energy Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Siemens Limited,Siemens Limited,G2.2_Land_AR,HIGH,Exact V2 match
Signatureglobal India,Signatureglobal India Limited,C3.1_Renewable,HIGH,Core name match
Signatureglobal India Limited,Signatureglobal India Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Simplex Infrastructures,Simplex Infrastructures,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Snowman Logistics,Snowman Logistics,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Sobha Limited,Sobha Limited,C3.1_Renewable,HIGH,Exact V2 match
Solar Industries India,Solar Industries India Limited,C3.1_Renewable,HIGH,Core name match
Solar Industries India Limited,Solar Industries India Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Somany Ceramics,Somany Ceramics,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Sona BLW Precision (Sona Comstar),Sona BLW Precision Forgings Limited,C3.1_Renewable,HIGH,Includes brand name
Sona BLW Precision Forgings,Sona BLW Precision Forgings Limited,G2.1_Land_BRSR,HIGH,Core name match
Sona BLW Precision Forgings Limited,Sona BLW Precision Forgings Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Sonata Software Limited,Sonata Software Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
South Indian Bank,South Indian Bank,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
