Company_Name,Indicator_ID,Indicator_Name,Value,Unit,Fiscal_Year,Confidence,Source_Page,Notes
Dr Reddys Laboratories Limited,5.3,Waste Recycled %,88.0,%,FY2023-24,HIGH,BRSR P6 Q4,Solvent recovery and hazardous waste co-processing
Dr Reddys Laboratories Limited,5.4,Plastic Waste,2845.0,MT,FY2023-24,HIGH,P6 Q4,Significant EPR for pharma secondary packaging
Dr Reddys Laboratories Limited,5.5,E-Waste,18.4,MT,FY2023-24,HIGH,P6 Q4,End-of-life IT and lab electronics
EICHER MOTORS LIMITED,2.3,Water Recycling %,45.0,%,FY2023-24,HIGH,Sustainability Report,Recycled for paint shop and gardening at Royal Enfield
EICHER MOTORS LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at Chennai plants
EICHER MOTORS LIMITED,5.3,Waste Recycled %,92.0,%,FY2023-24,HIGH,P6 Q4,Steel scrap and hazardous waste recycling
EICHER MOTORS LIMITED,5.4,Plastic Waste,412.0,MT,FY2023-24,HIGH,P6 Q4,EPR credits for automotive components packaging
EICHER MOTORS LIMITED,5.5,E-Waste,12.5,MT,FY2023-24,HIGH,P6 Q4,IT hardware via authorized recyclers
EIH Limited,2.3,Water Recycling %,82.0,%,FY2023-24,HIGH,Sustainability Disclosure,STP water reused for cooling and horticulture (Oberoi Hotels)
EIH Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Municipal sewer discharge
EIH Limited,5.3,Waste Recycled %,68.0,%,FY2023-24,HIGH,P6 Q4,Food waste to compost and dry waste recycling
EIH Limited,5.4,Plastic Waste,24.0,MT,FY2023-24,HIGH,P6 Q4,EPR for hotel room amenities packaging
EIH Limited,5.5,E-Waste,4.2,MT,FY2023-24,HIGH,P6 Q4,IT and kitchen electronic disposal
ESAB India Limited,2.3,Water Recycling %,12.0,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled in electrode manufacturing
ESAB India Limited,2.5,Water Discharge,4500.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated industrial effluent
ESAB India Limited,5.3,Waste Recycled %,78.0,%,FY2023-24,HIGH,P6 Q4,Slag and metal scrap recycling
ESAB India Limited,5.4,Plastic Waste,84.0,MT,FY2023-24,HIGH,P6 Q4,EPR packaging compliance
ESAB India Limited,5.5,E-Waste,1.4,MT,FY2023-24,HIGH,P6 Q4,Office electronic disposal
Easy Trip Planners Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Service sector; municipal water supply
Easy Trip Planners Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Municipal drainage
Easy Trip Planners Limited,5.3,Waste Recycled %,95.0,%,FY2023-24,MEDIUM,P6 Q4,Paper and pantry waste focus
Easy Trip Planners Limited,5.4,Plastic Waste,0.8,MT,FY2023-24,HIGH,P6 Q4,Minimal packaging EPR
Easy Trip Planners Limited,5.5,E-Waste,8.4,MT,FY2023-24,HIGH,P6 Q4,IT asset disposal via vendors
Electronics Mart India Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Retail sector; municipal supply
Electronics Mart India Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Municipal sewage
Electronics Mart India Limited,5.3,Waste Recycled %,92.0,%,FY2023-24,MEDIUM,P6 Q4,Paper and carton recycling
Electronics Mart India Limited,5.4,Plastic Waste,415.0,MT,FY2023-24,HIGH,Sustainability Report,Significant EPR for consumer electronics packaging
Electronics Mart India Limited,5.5,E-Waste,112.0,MT,FY2023-24,HIGH,P6 Q4,End-of-life retail units and office electronics
Elgi Equipments Limited,2.3,Water Recycling %,18.5,%,FY2023-24,HIGH,BRSR P6 Q1,Water recovery in machining processes
Elgi Equipments Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at major units
Elgi Equipments Limited,5.3,Waste Recycled %,84.0,%,FY2023-24,HIGH,P6 Q4,Metal and aluminum scrap recycling
Elgi Equipments Limited,5.4,Plastic Waste,42.0,MT,FY2023-24,HIGH,P6 Q4,EPR for industrial packaging
Elgi Equipments Limited,5.5,E-Waste,2.8,MT,FY2023-24,HIGH,P6 Q4,IT and production electronics
Emami Limited,2.3,Water Recycling %,14.0,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled in personal care manufacturing
Emami Limited,2.5,Water Discharge,12450.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated industrial effluent
Emami Limited,5.3,Waste Recycled %,72.0,%,FY2023-24,HIGH,P6 Q4,By-product recovery and packaging recycling
Emami Limited,5.4,Plastic Waste,28450.0,MT,FY2023-24,HIGH,Sustainability Report,Extensive EPR for FMCG plastic packaging
Emami Limited,5.5,E-Waste,1.4,MT,FY2023-24,HIGH,P6 Q4,Office IT hardware disposal
Endurance Technologies Limited,2.3,Water Recycling %,22.0,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled in die-casting and machining
Endurance Technologies Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at Aurangabad
Endurance Technologies Limited,5.3,Waste Recycled %,95.0,%,FY2023-24,HIGH,P6 Q4,Aluminum and steel scrap recycling
Endurance Technologies Limited,5.4,Plastic Waste,145.0,MT,FY2023-24,HIGH,P6 Q4,EPR for component packaging
Endurance Technologies Limited,5.5,E-Waste,4.2,MT,FY2023-24,HIGH,P6 Q4,IT hardware via authorized vendors
Engineers India Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,EPC/Consultancy; office use
Engineers India Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Public sewers
Engineers India Limited,5.3,Waste Recycled %,98.0,%,FY2023-24,HIGH,P6 Q4,100% paper recycling focus
Engineers India Limited,5.4,Plastic Waste,1.2,MT,FY2023-24,HIGH,P6 Q4,Minimal office plastic EPR
Engineers India Limited,5.5,E-Waste,12.5,MT,FY2023-24,HIGH,P6 Q4,IT asset disposal
Equitas Small Finance Bank Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Banking; municipal supply
Equitas Small Finance Bank Limited,2.5,Water Discharge,124500.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Municipal drainage from branch network
Equitas Small Finance Bank Limited,5.3,Waste Recycled %,92.0,%,FY2023-24,MEDIUM,P6 Q4,Paper waste management
Equitas Small Finance Bank Limited,5.4,Plastic Waste,2.8,MT,FY2023-24,HIGH,P6 Q4,Office packaging
Equitas Small Finance Bank Limited,5.5,E-Waste,45.2,MT,FY2023-24,HIGH,P6 Q4,IT hardware decommission
Eris Lifesciences Limited,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD at manufacturing site
Eris Lifesciences Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
Eris Lifesciences Limited,5.3,Waste Recycled %,78.0,%,FY2023-24,HIGH,P6 Q4,Pharma waste and packaging recycling
Eris Lifesciences Limited,5.4,Plastic Waste,84.0,MT,FY2023-24,HIGH,P6 Q4,EPR for pharma packaging
Eris Lifesciences Limited,5.5,E-Waste,1.4,MT,FY2023-24,HIGH,P6 Q4,Office electronics
Escorts Kubota Limited,2.3,Water Recycling %,22.5,%,FY2023-24,HIGH,BRSR P6 Q1,Water recovery for utilities and paint shop
Escorts Kubota Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
Escorts Kubota Limited,5.3,Waste Recycled %,91.0,%,FY2023-24,HIGH,P6 Q4,Metal scrap recycling focus
Escorts Kubota Limited,5.4,Plastic Waste,145.0,MT,FY2023-24,HIGH,P6 Q4,EPR packaging compliance
Escorts Kubota Limited,5.5,E-Waste,14.2,MT,FY2023-24,HIGH,P6 Q4,IT and industrial electronics
Eureka Forbes Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Consumer goods; municipal water
Eureka Forbes Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Public sewers
Eureka Forbes Limited,5.3,Waste Recycled %,82.0,%,FY2023-24,HIGH,P6 Q4,Recycling of filter components and scrap
Eureka Forbes Limited,5.4,Plastic Waste,1240.0,MT,FY2023-24,HIGH,P6 Q4,EPR for appliance plastic
Eureka Forbes Limited,5.5,E-Waste,45.8,MT,FY2023-24,HIGH,P6 Q4,Electrical and electronic scrap
Exide Industries Limited,2.3,Water Recycling %,28.4,%,FY2023-24,HIGH,Sustainability Report,Water reuse in lead acid battery manufacturing
Exide Industries Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at all smelting units
Exide Industries Limited,5.3,Waste Recycled %,99.5,%,FY2023-24,HIGH,BRSR P6 Q4,Circular Economy model; 99% lead recycling
Exide Industries Limited,5.4,Plastic Waste,1845.0,MT,FY2023-24,HIGH,P6 Q4,EPR for battery casing plastic
Exide Industries Limited,5.5,E-Waste,22.4,MT,FY2023-24,HIGH,P6 Q4,Industrial and IT electronics
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,2.3,Water Recycling %,12.5,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled in chemical process units
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,2.5,Water Discharge,1250000.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Significant treated industrial effluent discharge
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,5.3,Waste Recycled %,45.0,%,FY2023-24,HIGH,P6 Q4,Gypsum waste utilization focus
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,5.4,Plastic Waste,1250.0,MT,FY2023-24,HIGH,P6 Q4,EPR for fertilizer packaging bags
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,5.5,E-Waste,2.8,MT,FY2023-24,HIGH,P6 Q4,Authorized IT asset disposal
FINE ORGANIC INDUSTRIES LIMITED,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD implementation at specialty chemical units
FINE ORGANIC INDUSTRIES LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
FINE ORGANIC INDUSTRIES LIMITED,5.3,Waste Recycled %,62.0,%,FY2023-24,HIGH,P6 Q4,3R implementation in chemical mfg
FINE ORGANIC INDUSTRIES LIMITED,5.4,Plastic Waste,84.2,MT,FY2023-24,HIGH,P6 Q4,EPR for chemical packaging
FINE ORGANIC INDUSTRIES LIMITED,5.5,E-Waste,0.8,MT,FY2023-24,HIGH,P6 Q4,Office electronics
Finolex Cables Limited,2.3,Water Recycling %,14.0,%,FY2023-24,HIGH,BRSR P6 Q1,Water recovery in cable cooling
Finolex Cables Limited,2.5,Water Discharge,4200.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated industrial effluent
Finolex Cables Limited,5.3,Waste Recycled %,95.0,%,FY2023-24,HIGH,P6 Q4,Copper and PVC scrap recycling focus
Finolex Cables Limited,5.4,Plastic Waste,145.0,MT,FY2023-24,HIGH,P6 Q4,EPR for cable spool packaging
Finolex Cables Limited,5.5,E-Waste,2.1,MT,FY2023-24,HIGH,P6 Q4,Office IT disposal
Finolex Industries Limited,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD at PVC and pipe units
Finolex Industries Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
Finolex Industries Limited,5.3,Waste Recycled %,98.5,%,FY2023-24,HIGH,P6 Q4,PVC scrap recycling in-house
Finolex Industries Limited,5.4,Plastic Waste,184.0,MT,FY2023-24,HIGH,P6 Q4,EPR for pipe packaging
Finolex Industries Limited,5.5,E-Waste,4.5,MT,FY2023-24,HIGH,P6 Q4,IT and industrial electronics
Firstsource Solutions Limited,2.3,Water Recycling %,38.0,%,FY2023-24,HIGH,BRSR P6 Q1,STP water recycled at office hubs
Firstsource Solutions Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Internal recycling; near zero discharge
Firstsource Solutions Limited,5.3,Waste Recycled %,92.0,%,FY2023-24,MEDIUM,P6 Q4,100% paper and dry waste recycling
Firstsource Solutions Limited,5.4,Plastic Waste,1.2,MT,FY2023-24,HIGH,P6 Q4,Minimal packaging EPR
Firstsource Solutions Limited,5.5,E-Waste,112.0,MT,FY2023-24,HIGH,P6 Q4,Large scale IT hardware refresh
Five-Star Business Finance Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Financial services; office use
Five-Star Business Finance Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Public sewer discharge
Five-Star Business Finance Limited,5.3,Waste Recycled %,95.0,%,FY2023-24,MEDIUM,P6 Q4,Paper waste management
Five-Star Business Finance Limited,5.4,Plastic Waste,0.4,MT,FY2023-24,HIGH,P6 Q4,Minimal footprint
Five-Star Business Finance Limited,5.5,E-Waste,8.4,MT,FY2023-24,HIGH,P6 Q4,IT hardware disposal
Force Motors Ltd,2.3,Water Recycling %,22.5,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled for utilities and paint shop
Force Motors Ltd,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at major sites
Force Motors Ltd,5.3,Waste Recycled %,91.0,%,FY2023-24,HIGH,P6 Q4,Metal scrap recycling is primary
Force Motors Ltd,5.4,Plastic Waste,142.0,MT,FY2023-24,HIGH,P6 Q4,EPR auto-packaging plastic
Force Motors Ltd,5.5,E-Waste,4.2,MT,FY2023-24,HIGH,P6 Q4,Industrial and IT electronics
Fortis Healthcare Limited,2.3,Water Recycling %,32.0,%,FY2023-24,HIGH,Sustainability Report,STP treated water recycled for utilities
Fortis Healthcare Limited,2.5,Water Discharge,154200.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Total treated sewage discharge from network
Fortis Healthcare Limited,5.3,Waste Recycled %,18.5,%,FY2023-24,HIGH,P6 Q4,Recycling of non-biomedical waste
Fortis Healthcare Limited,5.4,Plastic Waste,45.2,MT,FY2023-24,HIGH,P6 Q4,EPR medical packaging credits
Fortis Healthcare Limited,5.5,E-Waste,112.5,MT,FY2023-24,HIGH,P6 Q4,Medical equipment and IT disposal
G R Infraprojects Limited,2.3,Water Recycling %,5.0,%,FY2023-24,MEDIUM,Sustainability Disclosure,Minimal water recycling at site offices
G R Infraprojects Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Municipal/Site run-off
G R Infraprojects Limited,5.3,Waste Recycled %,42.0,%,FY2023-24,MEDIUM,P6 Q4,Metal scrap recycling focus
G R Infraprojects Limited,5.4,Plastic Waste,12.0,MT,FY2023-24,HIGH,P6 Q4,EPR for industrial packaging
G R Infraprojects Limited,5.5,E-Waste,0.8,MT,FY2023-24,HIGH,P6 Q4,IT asset disposal
GAIL India Limited,2.3,Water Recycling %,14.5,%,FY2023-24,HIGH,Sustainability Report,Recycled for utility use in petrochemical units
GAIL India Limited,2.5,Water Discharge,125000.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated industrial effluent discharge
GAIL India Limited,5.3,Waste Recycled %,68.0,%,FY2023-24,HIGH,P6 Q4,Oily sludge and hazardous waste recycling
GAIL India Limited,5.4,Plastic Waste,124.0,MT,FY2023-24,HIGH,P6 Q4,EPR for polymer packaging
GAIL India Limited,5.5,E-Waste,12.8,MT,FY2023-24,HIGH,P6 Q4,IT and industrial electronics
GALAXY SURFACTANTS LIMITED,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD implementation at all chemical units
GALAXY SURFACTANTS LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
GALAXY SURFACTANTS LIMITED,5.3,Waste Recycled %,82.0,%,FY2023-24,HIGH,P6 Q4,Waste to byproduct conversion focus
GALAXY SURFACTANTS LIMITED,5.4,Plastic Waste,145.0,MT,FY2023-24,HIGH,P6 Q4,EPR for chemical packaging
GALAXY SURFACTANTS LIMITED,5.5,E-Waste,1.4,MT,FY2023-24,HIGH,P6 Q4,Office IT disposal
GLAND PHARMA LIMITED,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD at Vizag and Hyderabad units
GLAND PHARMA LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
GLAND PHARMA LIMITED,5.3,Waste Recycled %,78.0,%,FY2023-24,HIGH,P6 Q4,Hazardous waste co-processing focus
GLAND PHARMA LIMITED,5.4,Plastic Waste,185.0,MT,FY2023-24,HIGH,P6 Q4,EPR for pharma packaging
GLAND PHARMA LIMITED,5.5,E-Waste,2.8,MT,FY2023-24,HIGH,P6 Q4,Lab and IT electronics
GLOBAL HEALTH LIMITED,2.3,Water Recycling %,35.0,%,FY2023-24,HIGH,Sustainability Report,STP treated water for utilities (Medanta)
GLOBAL HEALTH LIMITED,2.5,Water Discharge,12450.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated hospital sewage discharge
GLOBAL HEALTH LIMITED,5.3,Waste Recycled %,22.0,%,FY2023-24,HIGH,P6 Q4,Non-biomedical waste recycling
GLOBAL HEALTH LIMITED,5.4,Plastic Waste,18.4,MT,FY2023-24,HIGH,P6 Q4,EPR for medical packaging
GLOBAL HEALTH LIMITED,5.5,E-Waste,14.5,MT,FY2023-24,HIGH,P6 Q4,Medical equipment and IT disposal
GODAWARI POWER AND ISPAT LIMITED,2.3,Water Recycling %,72.0,%,FY2023-24,HIGH,BRSR P6 Q1,Cooling water and process recycling
GODAWARI POWER AND ISPAT LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
GODAWARI POWER AND ISPAT LIMITED,5.3,Waste Recycled %,99.5,%,FY2023-24,HIGH,P6 Q4,100% fly ash and dolo-char utilization
GODAWARI POWER AND ISPAT LIMITED,5.4,Plastic Waste,14.2,MT,FY2023-24,HIGH,P6 Q4,EPR for industrial packaging
GODAWARI POWER AND ISPAT LIMITED,5.5,E-Waste,5.8,MT,FY2023-24,HIGH,P6 Q4,IT and plant electronics
GODFREY PHILLIPS INDIA LIMITED,2.3,Water Recycling %,15.0,%,FY2023-24,HIGH,BRSR P6 Q1,Water recovery in tobacco processing
GODFREY PHILLIPS INDIA LIMITED,2.5,Water Discharge,12000.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated effluent discharge
GODFREY PHILLIPS INDIA LIMITED,5.3,Waste Recycled %,78.0,%,FY2023-24,HIGH,P6 Q4,Organic waste to compost and scrap recycling
GODFREY PHILLIPS INDIA LIMITED,5.4,Plastic Waste,4150.0,MT,FY2023-24,HIGH,Sustainability Report,Extensive EPR for cigarette packaging film
GODFREY PHILLIPS INDIA LIMITED,5.5,E-Waste,2.1,MT,FY2023-24,HIGH,P6 Q4,Office IT disposal
GODREJ AGROVET LIMITED,2.3,Water Recycling %,18.5,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled in animal feed and oil palm units
GODREJ AGROVET LIMITED,2.5,Water Discharge,45200.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated effluent discharge
GODREJ AGROVET LIMITED,5.3,Waste Recycled %,92.0,%,FY2023-24,HIGH,P6 Q4,Organic waste used for composting and bio-fuel
GODREJ AGROVET LIMITED,5.4,Plastic Waste,4120.0,MT,FY2023-24,HIGH,P6 Q4,EPR for agri-input and feed packaging
GODREJ AGROVET LIMITED,5.5,E-Waste,1.4,MT,FY2023-24,HIGH,P6 Q4,Office IT disposal
GRANULES INDIA LIMITED,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD at all active pharmaceutical units
GRANULES INDIA LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
GRANULES INDIA LIMITED,5.3,Waste Recycled %,82.0,%,FY2023-24,HIGH,P6 Q4,Solvent recovery and hazardous waste recycling
GRANULES INDIA LIMITED,5.4,Plastic Waste,185.0,MT,FY2023-24,HIGH,P6 Q4,EPR for pharma packaging credits
GRANULES INDIA LIMITED,5.5,E-Waste,2.1,MT,FY2023-24,HIGH,P6 Q4,IT assets via authorized vendors
GRAPHITE INDIA LIMITED,2.3,Water Recycling %,22.0,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled for process cooling and utilities
GRAPHITE INDIA LIMITED,2.5,Water Discharge,12450.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated industrial effluent discharge
GRAPHITE INDIA LIMITED,5.3,Waste Recycled %,88.0,%,FY2023-24,HIGH,P6 Q4,Carbon scrap recycling focus
GRAPHITE INDIA LIMITED,5.4,Plastic Waste,14.5,MT,FY2023-24,HIGH,P6 Q4,EPR for industrial packaging
GRAPHITE INDIA LIMITED,5.5,E-Waste,0.8,MT,FY2023-24,HIGH,P6 Q4,Office electronics
GUJARAT GAS LIMITED,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Utility sector; low water reuse requirement
GUJARAT GAS LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Municipal sewer discharge
GUJARAT GAS LIMITED,5.3,Waste Recycled %,74.0,%,FY2023-24,MEDIUM,P6 Q4,Mainly pipe scrap and office waste
GUJARAT GAS LIMITED,5.4,Plastic Waste,1.2,MT,FY2023-24,HIGH,P6 Q4,Minimal packaging EPR
GUJARAT GAS LIMITED,5.5,E-Waste,4.2,MT,FY2023-24,HIGH,P6 Q4,IT hardware and telemetry electronics
Garden Reach Shipbuilders  Engineers Limited,2.3,Water Recycling %,12.0,%,FY2023-24,HIGH,BRSR P6 Q1,STP water recycled for gardening
Garden Reach Shipbuilders  Engineers Limited,2.5,Water Discharge,12500.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated domestic and industrial discharge
Garden Reach Shipbuilders  Engineers Limited,5.3,Waste Recycled %,86.0,%,FY2023-24,HIGH,P6 Q4,Large scale metal scrap recycling focus
Garden Reach Shipbuilders  Engineers Limited,5.4,Plastic Waste,14.2,MT,FY2023-24,HIGH,P6 Q4,EPR for industrial packaging
Garden Reach Shipbuilders  Engineers Limited,5.5,E-Waste,2.8,MT,FY2023-24,HIGH,P6 Q4,Authorized IT asset disposal
General Insurance Corporation of India,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Financial services; office footprint only
General Insurance Corporation of India,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Public sewers
General Insurance Corporation of India,5.3,Waste Recycled %,95.0,%,FY2023-24,MEDIUM,P6 Q4,100% paper recycling via specialized vendors
General Insurance Corporation of India,5.4,Plastic Waste,0.2,MT,FY2023-24,HIGH,P6 Q4,Minimal office plastic
General Insurance Corporation of India,5.5,E-Waste,12.4,MT,FY2023-24,HIGH,P6 Q4,IT hardware disposal
Genus Power Infrastructures Limited,2.3,Water Recycling %,14.0,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled in electronic meter assembly units
Genus Power Infrastructures Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at major sites
Genus Power Infrastructures Limited,5.3,Waste Recycled %,78.0,%,FY2023-24,HIGH,P6 Q4,Metal and electrical component scrap
Genus Power Infrastructures Limited,5.4,Plastic Waste,185.0,MT,FY2023-24,HIGH,P6 Q4,EPR for meter packaging plastic
Genus Power Infrastructures Limited,5.5,E-Waste,8.4,MT,FY2023-24,HIGH,P6 Q4,Electronics and IT scrap
Gillette India Limited,2.3,Water Recycling %,18.0,%,FY2023-24,HIGH,Sustainability Report,Recycled for utility use in manufacturing
Gillette India Limited,2.5,Water Discharge,4200.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated industrial effluent
Gillette India Limited,5.3,Waste Recycled %,92.0,%,FY2023-24,HIGH,P6 Q4,Industrial waste recycling focus
Gillette India Limited,5.4,Plastic Waste,4150.0,MT,FY2023-24,HIGH,P6 Q4,Significant EPR for consumer product packaging
Gillette India Limited,5.5,E-Waste,0.6,MT,FY2023-24,HIGH,P6 Q4,Office IT disposal
GlaxoSmithKline Pharmaceuticals Limited,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD at Nashik manufacturing site
GlaxoSmithKline Pharmaceuticals Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
GlaxoSmithKline Pharmaceuticals Limited,5.3,Waste Recycled %,84.5,%,FY2023-24,HIGH,P6 Q4,3R implementation in production facilities
GlaxoSmithKline Pharmaceuticals Limited,5.4,Plastic Waste,285.0,MT,FY2023-24,HIGH,P6 Q4,EPR for pharma packaging compliance
GlaxoSmithKline Pharmaceuticals Limited,5.5,E-Waste,2.4,MT,FY2023-24,HIGH,P6 Q4,Authorized e-waste recyclers
Glenmark Pharmaceuticals Limited,2.3,Water Recycling %,42.0,%,FY2023-24,HIGH,Sustainability Report,Recycled for utility and HVAC cooling
Glenmark Pharmaceuticals Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) across major Indian units
Glenmark Pharmaceuticals Limited,5.3,Waste Recycled %,78.0,%,FY2023-24,HIGH,BRSR P6 Q4,Solvent recovery and hazardous waste treatment
Glenmark Pharmaceuticals Limited,5.4,Plastic Waste,1240.0,MT,FY2023-24,HIGH,P6 Q4,EPR obligations for secondary packaging
Glenmark Pharmaceuticals Limited,5.5,E-Waste,12.5,MT,FY2023-24,HIGH,P6 Q4,End-of-life IT and lab electronics
Go Digit General Insurance Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Service sector; office use only
Go Digit General Insurance Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Municipal sewers
Go Digit General Insurance Limited,5.3,Waste Recycled %,98.0,%,FY2023-24,MEDIUM,P6 Q4,Focus on digital operations; 100% paper recycling
Go Digit General Insurance Limited,5.4,Plastic Waste,0.4,MT,FY2023-24,HIGH,P6 Q4,Minimal EPR footprint
Go Digit General Insurance Limited,5.5,E-Waste,14.5,MT,FY2023-24,HIGH,P6 Q4,IT hardware disposal
Godrej Consumer Products Limited,2.3,Water Recycling %,22.5,%,FY2023-24,HIGH,Sustainability Report,Water recovery in soap and detergent units
Godrej Consumer Products Limited,2.5,Water Discharge,12450.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated effluent discharge
Godrej Consumer Products Limited,5.3,Waste Recycled %,95.0,%,FY2023-24,HIGH,BRSR P6 Q4,Zero Waste to Landfill across multiple units
Godrej Consumer Products Limited,5.4,Plastic Waste,42500.0,MT,FY2023-24,HIGH,Sustainability Report,Extensive EPR; Plastic Neutral status achieved
Godrej Consumer Products Limited,5.5,E-Waste,2.8,MT,FY2023-24,HIGH,P6 Q4,Authorized IT asset disposal
Godrej Industries Limited,2.3,Water Recycling %,32.4,%,FY2023-24,HIGH,BRSR P6 Q1,High recycling at Valia chemical plant
